OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
GB-BV-001	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 1\GB-BV-001\	GB-BV-001.EMObs
GB-BV-068	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 2\	GB-BV-068.EMObs
GB-BV-032	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 3\	GB-BV-032.EMObs
GB-BV-052	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 4\	GB-BV-052.EMObs
GB-BV-080	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 5\	GB-BV-080.EMObs
GB-BV-162	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 6\	GB-BV-162.EMObs
GB-BV-084	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 7\	GB-BV-084.EMObs
GB-BV-174	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 8\	GB-BV-174.EMObs
GB-BV-150	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 10\	GB-BV-150.EMObs
GB-BV-134	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 9\	GB-BV-134.EMObs
GB-BV-003	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 1\GB-BV-003\	GB-BV-003.EMObs
GB-BV-014	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 2\	GB-BV-014.EMObs
GB-BV-083	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 3\	GB-BV-083.EMObs
GB-BV-067	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 4\	GB-BV-067.EMObs
GB-BV-166	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 6\	GB-BV-166.EMObs
GB-BV-008	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 5\	GB-BV-008.EMObs
GB-BV-100	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 7\	GB-BV-100.EMObs
GB-BV-118	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 8\	GB-BV-118.EMObs
GB-BV-020	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 9\	GB-BV-020.EMObs
GB-BV-108	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 10\	GB-BV-108.EMObs
GB-BV-085	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 1\	GB-BV-085.EMObs
GB-BV-069	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 2\	GB-BV-069.EMObs
GB-BV-129	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 3\	GB-BV-129.EMObs
GB-BV-073	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 4\	GB-BV-073.EMObs
GB-BV-113	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 5\	GB-BV-113.EMObs
GB-BV-057	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 6\	GB-BV-057.EMObs
GB-BV-125	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 7\	GB-BV-125.EMObs
GB-BV-041	1.09	2025 02 24 10:34:07	D:\20240326\BRUVS 8\	GB-BV-041.EMObs
GB-BV-109	1.09	2025 02 24 10:34:07	E:\20240326\BRUVS 9\	GB-BV-109.EMObs
GB-BV-053	1.09	2025 02 24 10:34:07	D:\2024-04_Geographe_stereo-BRUVs\20240326\BRUVS 10\	GB-BV-053.EMObs
GB-BV-088	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 1\	GB-BV-088.EMObs
GB-BV-170	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 2\	GB-BV-170.EMObs
GB-BV-146	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 3\	GB-BV-146.EMObs
GB-BV-215	1.09	2025 02 24 10:34:07	E:\20240328\BRUVS 3\	GB-BV-215.EMObs
GB-BV-237	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 1\	GB-BV-237.EMObs
GB-BV-031	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 4\	GB-BV-031.EMObs
GB-BV-163	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 5\	GB-BV-163.EMObs
GB-BV-167	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 7\	GB-BV-167.EMObs
GB-BV-214	1.09	2025 02 24 10:34:07	E:\20240328\BRUVS 2\	GB-BV-214.EMObs
GB-BV-139	1.09	2025 02 24 10:34:07	D:\20240403\BRUVS 1\	GB-BV-139.EMObs
GB-BV-072	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 4\	GB-BV-072.EMObs
GB-BV-016	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 5\	GB-BV-016.EMObs
GB-BV-056	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 6\	GB-BV-056.EMObs
GB-BV-099	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 7\	GB-BV-099.EMObs
GB-BV-130	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 8\	GB-BV-130.EMObs
GB-BV-154	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 10\	GB-BV-154.EMObs
GB-BV-012	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 1\	GB-BV-012.EMObs
GB-BV-048	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 2\	GB-BV-048.EMObs
GB-BV-060	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 4\	GB-BV-060.EMObs
GB-BV-178	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 5\	GB-BV-178.EMObs
GB-BV-092	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 6\	GB-BV-092.EMObs
GB-BV-138	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 7\	GB-BV-138.EMObs
GB-BV-064	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 8\	GB-BV-064.EMObs
GB-BV-104	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 10\	GB-BV-104.EMObs
GB-BV-076	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 1\	GB-BV-076.EMObs
GB-BV-005	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 2\	GB-BV-005.EMObs
GB-BV-145	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 3\	GB-BV-145.EMObs
GB-BV-089	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 4\	GB-BV-089.EMObs
GB-BV-161	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 5\	GB-BV-161.EMObs
GB-BV-141	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 6\	GB-BV-141.EMObs
GB-BV-033	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 7\	GB-BV-033.EMObs
GB-BV-157	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 10\	GB-BV-157.EMObs
GB-BV-013	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 1\	GB-BV-013.EMObs
GB-BV-198	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 1\	GB-BV-198.EMObs
GB-BV-122	1.09	2025 02 24 10:34:07	D:\20240327\BRUVS 3\	GB-BV-122.EMObs
GB-BV-131	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 5\	GB-BV-131.EMObs
GB-BV-205	1.09	2025 02 24 10:34:07	E:\20240328\BRUVS 6\	GB-BV-205.EMObs
GB-BV-209	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 8\	GB-BV-209.EMObs
GB-BV-208	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 10\	GB-BV-208.EMObs
GB-BV-210	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 1\	GB-BV-210.EMObs
GB-BV-010	1.09	2025 02 24 10:34:07	D:\20240403\BRUVS 8\	GB-BV-010.EMObs
GB-BV-213	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 8\	GB-BV-213.EMObs
GB-BV-042	1.09	2025 02 24 10:34:07	D:\20240409\BRUVS 8\	GB-BV-042.EMObs
GB-BV-004	1.09	2025 02 24 10:34:07	D:\20240409\BRUVS 10\	GB-BV-004.EMObs
GB-BV-070	1.09	2025 02 24 10:34:07	E:\20240409\BRUVS 9\	GB-BV-070.EMObs
GB-BV-086	1.09	2025 02 24 10:34:07	E:\20240409\BRUVS 7\	GB-BV-086.EMObs
GB-BV-035	1.09	2025 02 24 10:34:07	E:\20240409\BRUVS 5\	GB-BV-035.EMObs
GB-BV-065	1.09	2025 02 24 10:34:07	D:\20240403\BRUVS 10\	GB-BV-065.EMObs
GB-BV-155	1.09	2025 02 24 10:34:07	D:\20240403\BRUVS 9\	GB-BV-155.EMObs
GB-BV-049	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 2\	GB-BV-049.EMObs
GB-BV-217	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 10\	GB-BV-217.EMObs
GB-BV-221	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 9\	GB-BV-221.EMObs
GB-BV-229	1.09	2025 02 24 10:34:07	E:\20240403\BRUVS 6\	GB-BV-229.EMObs
GB-BV-028	1.09	2025 02 24 10:34:07	E:\20240402\BRUVS 3\	GB-BV-028.EMObs
GB-BV-007	1.09	2025 02 24 10:34:07	E:\20240328\BRUVS 10\	GB-BV-007.EMObs
GB-BV-074	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 8\	GB-BV-074.EMObs
GB-BV-135	1.09	2025 02 24 10:34:07	E:\20240328\BRUVS 7\	GB-BV-135.EMObs
GB-BV-175	1.09	2025 02 24 10:34:07	D:\20240328\BRUVS 6\	GB-BV-175.EMObs
