fullspp,habitat,reef,seagrass,sand,pelagic,ref_1,ref_2
Apogonidae..spp,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,SIMILAR SPP,
Apogonidae.Ostorhinchus.rueppellii,reef,TRUE,FALSE,FALSE,FALSE,"https://fishesofaustralia.net.au/home/species/1604#:~:text=A%20pale%20brownish%20to%20greyish,dorsal%20fins%2C%20and%20yellowish%20pelvic",https://www.fishbase.se/summary/ostorhinchus-rueppellii
Apogonidae.Ostorhinchus.spp,reef,TRUE,FALSE,FALSE,FALSE,SIMILAR SPP,
Apogonidae.Ostorhinchus.victoriae,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1611#summary,https://www.fishbase.se/summary/14832
Apogonidae.Siphamia.cephalotes,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,"https://fishesofaustralia.net.au/home/species/4232#:~:text=Summary%3A,and%20a%20coppery%20midlateral%20stripe.",https://www.fishbase.se/summary/siphamia-cephalotes
Aracanidae..spp,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,SIMILAR SPP,
Aracanidae.Anoplocapros.amygdaloides,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2472,https://www.fishbase.se/summary/Anoplocapros-amygdaloides.html
Aracanidae.Anoplocapros.lenticularis,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/832,https://www.fishbase.se/summary/Anoplocapros-lenticularis.html
Aracanidae.Aracana.aurita,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/833,https://www.fishbase.se/summary/aracana-aurita
Aracanidae.Caprichthys.gymnura,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2473,https://fishbase.se/summary/caprichthys-gymnura
Arripidae.Arripis.georgianus,"pelagic, seagrass, reef",TRUE,TRUE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/405,https://www.fishbase.se/summary/Arripis-georgianus
Arripidae.Arripis.truttaceus,pelagic,FALSE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/407,https://www.fishbase.se/summary/Arripis-truttacea
