OpCode	x.2.x	x.3.x	Relief0	Relief1	Relief2	Relief3	Relief4	x.2.y	x.3.y	fieldofview.Limited	fieldofview.Open	x.2	x.3	Consolidated	Macroalgae	Seagrasses	Stony.corals	Unconsolidated
1	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
2	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	10	0	0	0
3	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
4	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
5	NA	NA	0	6	4	0	0	NA	NA	0	20	NA	NA	0	0	4	0	6
6	NA	NA	10	0	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
7	NA	NA	0	0	15	0	0	NA	NA	0	20	NA	NA	0	0	0	0	15
9	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
10	NA	NA	0	6	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	6
11	NA	NA	0	3	7	0	0	NA	NA	0	20	NA	NA	0	0	7	0	3
12	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
13	NA	NA	0	0	15	0	0	NA	NA	0	20	NA	NA	0	0	0	0	15
14	NA	NA	0	2	11	0	0	NA	NA	0	20	NA	NA	0	0	11	0	2
15	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
16	NA	NA	0	0	3	0	0	NA	NA	0	13	NA	NA	0	0	3	0	0
17	NA	NA	0	6	5	0	0	NA	NA	1	18	NA	NA	0	0	5	0	6
18	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
19	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
20	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
21	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
22	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
23	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
24	NA	NA	0	5	0	0	0	NA	NA	1	19	NA	NA	0	0	0	0	5
25	NA	NA	0	10	0	0	0	NA	NA	0	19	NA	NA	0	0	0	0	10
26	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	0	11	0	0
27	NA	NA	0	10	0	0	0	NA	NA	2	18	NA	NA	0	0	0	0	10
28	NA	NA	0	3	7	0	0	NA	NA	0	20	NA	NA	0	7	0	0	3
29	NA	NA	0	0	13	0	0	NA	NA	0	20	NA	NA	0	13	0	0	0
30	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	0	0	5
31	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
32	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
33	NA	NA	0	3	7	0	0	NA	NA	0	20	NA	NA	0	4	3	0	3
34	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
35	NA	NA	0	0	8	0	0	NA	NA	2	18	NA	NA	0	0	8	0	0
36	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
37	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
38	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	0	0	7
39	NA	NA	0	0	0	5	0	NA	NA	0	20	NA	NA	0	0	5	0	0
40	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
41	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	0	0	5
42	NA	NA	0	0	0	10	0	NA	NA	0	20	NA	NA	0	0	10	0	0
44	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	3	0	5
45	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	0	0	5
46	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	0	0	5
47	NA	NA	0	4	3	0	0	NA	NA	0	20	NA	NA	0	0	3	0	4
48	NA	NA	0	0	0	15	0	NA	NA	0	20	NA	NA	0	0	15	0	0
49	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
50	NA	NA	0	0	0	16	0	NA	NA	0	20	NA	NA	0	16	0	0	0
51	NA	NA	0	0	0	10	0	NA	NA	0	20	NA	NA	0	0	10	0	0
