campaignid,sample,latitude,longitude,date,time,location,site,depth,observer,successful.count,successful.length,raw.hdd.number,con.hdd.number,commonwealth.zone,state.zone,status
2014-12_Geographe.Bay_stereoBRUVs,1,-33.3635,115.2142,10/12/2014,13:20:00,Geographe Bay,Geographe Bay,40,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,2,-33.4405,115.101,10/12/2014,6:29:00,Geographe Bay,Geographe Bay,40.5,Test video,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,3,-33.4921,115.3549,13/12/2014,8:41:00,Geographe Bay,Geographe Bay,24.8,Hayley,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,4,-33.3921,115.2281,10/12/2014,14:13:00,Geographe Bay,Geographe Bay,38.4,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,5,-33.3628,115.455,11/12/2014,9:43:00,Geographe Bay,Geographe Bay,25.7,test video,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,6,-33.4071,115.1204,10/12/2014,7:55:00,Geographe Bay,Geographe Bay,41.8,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,7,-33.4205,115.4457,13/12/2014,11:04:00,Geographe Bay,Geographe Bay,23.2,Logan,Yes,Yes,NA,5,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,9,-33.3643,115.1361,10/12/2014,10:04:00,Geographe Bay,Geographe Bay,41.8,Molly,Yes,No,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,10,-33.5282,115.3313,12/12/2014,10:48:00,Geographe Bay,Geographe Bay,22.7,Hayley,Yes,No,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,11,-33.5712,115.2958,12/12/2014,8:59:00,Geographe Bay,Geographe Bay,21.7,Hayley,Yes,Yes,NA,2,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,12,-33.404,115.2616,10/12/2014,14:00:00,Geographe Bay,Geographe Bay,38.7,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,13,-33.4502,115.0925,9/12/2014,13:41:00,Geographe Bay,Geographe Bay,42.4,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,14,-33.5297,115.413,13/12/2014,5:56:00,Geographe Bay,Geographe Bay,13.2,Logan,Yes,Yes,NA,4,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,15,-33.5782,115.2148,12/12/2014,6:27:00,Geographe Bay,Geographe Bay,26.2,Logan,Yes,Yes,NA,4,Habitat Protection Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,16,-33.3889,115.4986,11/12/2014,12:21:00,Geographe Bay,Geographe Bay,20,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,17,-33.3636,115.2327,10/12/2014,13:27:00,Geographe Bay,Geographe Bay,38.8,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,18,-33.3926,115.0981,10/12/2014,7:44:00,Geographe Bay,Geographe Bay,42.4,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,19,-33.4605,115.3618,13/12/2014,10:33:00,Geographe Bay,Geographe Bay,26,Logan,Yes,Yes,NA,4,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,20,-33.4339,115.2221,10/12/2014,11:09:00,Geographe Bay,Geographe Bay,36,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,22,-33.5746,115.1807,9/12/2014,7:10:00,Geographe Bay,Geographe Bay,22.6,test video,Yes,Yes,NA,2,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,23,-33.5042,115.4289,16/12/2014,11:29:00,Geographe Bay,Geographe Bay,13.6,Hayley,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,24,-33.4712,115.2862,9/12/2014,6:05:00,Geographe Bay,Geographe Bay,29.2,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,25,-33.3833,115.0828,10/12/2014,7:10:00,Geographe Bay,Geographe Bay,42.5,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,26,-33.55,115.3236,12/12/2014,11:02:00,Geographe Bay,Geographe Bay,20.5,Hayley,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,27,-33.5464,115.1884,9/12/2014,7:00:00,Geographe Bay,Geographe Bay,28.2,Hayley,Yes,Yes,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,28,-33.4272,115.2873,11/12/2014,7:07:00,Geographe Bay,Geographe Bay,34,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,29,-33.487,115.1764,9/12/2014,10:30:00,Geographe Bay,Geographe Bay,34.3,Hayley,Yes,Yes,NA,2,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,30,-33.4241,115.3341,11/12/2014,6:37:00,Geographe Bay,Geographe Bay,31.8,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,31,-33.5986,115.2369,12/12/2014,5:55:00,Geographe Bay,Geographe Bay,26.3,Logan,Yes,Yes,NA,4,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,32,-33.4808,115.4621,13/12/2014,7:53:00,Geographe Bay,Geographe Bay,14.1,Hayley,Yes,Yes,NA,3,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,33,-33.3528,115.3205,11/12/2014,8:54:00,Geographe Bay,Geographe Bay,34.1,Molly,Yes,No,NA,1L,Special Purpose Zone (Mining Exclusion),NA,Fished
