Dot Point Measurements

Generated: Thursday 13 February 2025 14:29:21

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		637	1422											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								37.3
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		892	1212											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							19.6
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		781	1704											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								63.7
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		824	1827											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							76.4
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		721	189											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								89.3
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		717	1535											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Bryozoa								46.8
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		737	82											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							100.0
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		657	858											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							23.9
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		603	1531											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								48.8
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		803	435											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							64.6
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		612	174											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								92.0
GB-BV-001_1_01_20240326_BRUVS 1_L15_GX010005.MP4_0032601.jpg	      0		570	1754											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								71.3
