OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
GB-BV-001	1	20240326_BRUVS 1_L15_GX010005.MP4	37567	20240326_BRUVS 1_R16_GX010008.MP4	39547	20.89145	1	2.99800	118.14418	7.28565	0.22542	3792.82251	7.06679	7.25369	9.49390	84.40672	458.91938	-3764.00997	Unknown	Unknown	Unknown	0	9	AD	Passing			
GB-BV-001	2	20240326_BRUVS 1_L15_GX010005.MP4	45033	20240326_BRUVS 1_R16_GX010008.MP4	47013	25.04338	1	7.14993	170.86158	2.18803	3.62231	2373.19836	1.72365	1.09678	9.39495	-17.80542	-69.12664	-2372.12456	Aracanidae	Aracana	aurita	37466003	1	AD	Passing			
GB-BV-001	3	20240326_BRUVS 1_L15_GX010005.MP4	57727	20240326_BRUVS 1_R16_GX010008.MP4	59707	32.10266	1	14.20921	104.92771	9.81854	0.41726	2234.46307	10.85766	31.67350	1.33888	415.61229	66.54022	-2194.46213	Gerreidae	Parequula	melbournensis	37349001	3	AD	Passing			
GB-BV-001	4	20240326_BRUVS 1_L15_GX010005.MP4	57797	20240326_BRUVS 1_R16_GX010008.MP4	59777	32.14159	1	14.24814	116.14774	11.33386	0.44940	2169.26800	21.04145	43.66292	4.87531	-759.22201	173.79981	-2024.62323	Gerreidae	Parequula	melbournensis	37349001	3	AD	Passing			
GB-BV-001	5	20240326_BRUVS 1_L15_GX010005.MP4	57803	20240326_BRUVS 1_R16_GX010008.MP4	59783	32.14492	1	14.25147	91.64590	4.17576	0.21847	1954.90775	17.67588	0.94579	4.89220	-584.14054	105.39579	-1862.61533	Gerreidae	Parequula	melbournensis	37349001	3	AD	Passing			
GB-BV-001	6	20240326_BRUVS 1_L15_GX010005.MP4	57815	20240326_BRUVS 1_R16_GX010008.MP4	59795	32.15160	1	14.25815	98.50196	9.23321	0.15019	2135.42017	10.35476	33.71444	11.69339	383.41637	-17.71816	-2100.64211	Gerreidae	Parequula	melbournensis	37349001	3	AD	Passing			
GB-BV-001	7	20240326_BRUVS 1_L15_GX010005.MP4	57842	20240326_BRUVS 1_R16_GX010008.MP4	59822	32.16661	1	14.27316	120.86055	6.08520	0.18451	2287.42447	12.46457	14.17454	7.96280	-493.41791	-16.92748	-2233.50911	Gerreidae	Parequula	melbournensis	37349001	2	AD	Passing			
GB-BV-001	8	20240326_BRUVS 1_L15_GX010005.MP4	58146	20240326_BRUVS 1_R16_GX010008.MP4	60126	32.33567	1	14.44222	109.79483	9.96257	3.44445	2366.06601	36.78022	21.79532	1.56192	-1411.65941	119.10795	-1895.07239	Gerreidae	Parequula	melbournensis	37349001	2	AD	Passing			
GB-BV-001	9	20240326_BRUVS 1_L15_GX010005.MP4	60712	20240326_BRUVS 1_R16_GX010008.MP4	62692	33.76265	1	15.86920	281.09565	9.58095	2.82082	1953.15230	8.74810	45.25133	11.29057	-43.72602	-293.82030	-1930.43041	Platycephalidae	Platycephalus	spp		1	AD	Passing			
GB-BV-001	10	20240326_BRUVS 1_L15_GX010005.MP4	60722	20240326_BRUVS 1_R16_GX010008.MP4	62702	33.76821	1	15.87476	134.65801	4.76418	0.46466	1967.87840	8.26030	19.05572	5.67785	9.62972	-282.56213	-1947.46278	Platycephalidae	Platycephalus	spp		1	AD	Passing			
GB-BV-001	11	20240326_BRUVS 1_L15_GX010005.MP4	65206	20240326_BRUVS 1_R16_GX010008.MP4	67186	36.26182	1	18.36837	122.01898	1.10987	1.14320	872.28281	11.85433	17.59755	16.78116	43.89748	-173.72772	-853.67968	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	12	20240326_BRUVS 1_L15_GX010005.MP4	65339	20240326_BRUVS 1_R16_GX010008.MP4	67319	36.33578	1	18.44233	107.81898	0.97304	0.59172	1040.25389	11.20019	4.35220	9.95244	-3.36254	-202.02847	-1020.44174	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	13	20240326_BRUVS 1_L15_GX010005.MP4	65388	20240326_BRUVS 1_R16_GX010008.MP4	67368	36.36303	1	18.46958	113.82884	2.90281	0.69908	1232.39114	20.37746	27.77754	10.26212	-428.93074	-12.83165	-1155.26694	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	14	20240326_BRUVS 1_L15_GX010005.MP4	65411	20240326_BRUVS 1_R16_GX010008.MP4	67391	36.37582	1	18.48237	108.07113	2.40318	0.48400	1212.24866	17.79968	20.89682	11.85892	-367.49327	47.67150	-1154.21963	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	15	20240326_BRUVS 1_L15_GX010005.MP4	65412	20240326_BRUVS 1_R16_GX010008.MP4	67392	36.37638	1	18.48293	118.29425	4.43311	0.55310	1869.60471	11.72080	17.24525	4.31702	322.06510	-201.29470	-1830.62183	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	16	20240326_BRUVS 1_L15_GX010005.MP4	65623	20240326_BRUVS 1_R16_GX010008.MP4	67603	36.49372	1	18.60027	111.08177	5.13809	1.25585	1852.20480	10.66802	23.78913	20.08071	304.17119	-158.25393	-1820.19180	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	17	20240326_BRUVS 1_L15_GX010005.MP4	66074	20240326_BRUVS 1_R16_GX010008.MP4	68054	36.74452	1	18.85107	203.50643	5.83618	3.44311	1801.16877	14.51944	27.49887	8.45831	-449.16989	46.47993	-1743.64416	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-001	19	20240326_BRUVS 1_L15_GX010005.MP4	82744	20240326_BRUVS 1_R16_GX010008.MP4	84724	46.01490	1	28.12145	227.58337	15.38575	0.48738	2543.23871	23.21538	42.07952	8.04479	1000.10873	69.42872	-2337.31155	Aracanidae	Anoplocapros	amygdaloides	37466015	1	AD	Passing			
GB-BV-001	21	20240326_BRUVS 1_L15_GX010005.MP4	95356	20240326_BRUVS 1_R16_GX010008.MP4	97336	53.02858	1	35.13514	813.93774	61.21406	1.60381	4907.23624	32.27191	59.06090	1.07711	2568.00753	520.16454	-4149.18470	Carcharhinidae	Carcharhinus	obscurus	37018003	1	AD	Passing			
GB-BV-001	22	20240326_BRUVS 1_L15_GX010005.MP4	101467	20240326_BRUVS 1_R16_GX010008.MP4	103447	56.42698	1	38.53353	585.49271	3.11950	3.80385	1428.10921	16.93977	19.55014	25.57540	406.12245	90.58798	-1366.14578	Sparidae	Chrysophrys	auratus	37353001	2	AD	Passing			
GB-BV-001	27	20240326_BRUVS 1_L15_GX010005.MP4	131458	20240326_BRUVS 1_R16_GX010008.MP4	133438	73.10533	1	55.21188	644.29045	6.73998	9.85404	2438.90602	5.85090	15.75317	1.55988	142.81215	-203.51329	-2426.20065	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
GB-BV-001	28	20240326_BRUVS 1_L15_GX010005.MP4	131903	20240326_BRUVS 1_R16_GX010008.MP4	133883	73.35280	1	55.45935	582.96317	1.94280	4.52260	1256.11793	13.80002	10.31032	3.79356	127.10864	-271.32899	-1219.85910	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
GB-BV-068	1	20240326_BRUVS 2_L17_GX010007.MP4	9056	20240326_BRUVS 2_R18_GX010007.MP4	8843	5.03615	1	0.39206	228.81758	8.59623	0.81824	1996.46613	37.55766	60.80966	3.45091	1180.63539	295.13391	-1582.67909	Enoplosidae	Enoplosus	armatus	37366001	1	AD	Passing			
GB-BV-068	2	20240326_BRUVS 2_L17_GX010007.MP4	9472	20240326_BRUVS 2_R18_GX010007.MP4	9259	5.26749	1	0.62340	77.69503	6.71712	1.03816	2223.20784	22.79977	9.76279	12.61390	-857.02046	87.93002	-2049.49685	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
GB-BV-068	3	20240326_BRUVS 2_L17_GX010007.MP4	14358	20240326_BRUVS 2_R18_GX010007.MP4	14145	7.98465	1	3.34056	65.67835	5.60988	0.64531	1942.22170	13.67445	26.82361	31.56030	-451.45757	83.69888	-1887.16870	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
GB-BV-068	4	20240326_BRUVS 2_L17_GX010007.MP4	14377	20240326_BRUVS 2_R18_GX010007.MP4	14164	7.99522	1	3.35113	109.80972	2.08533	1.62672	1136.92884	6.10949	27.84507	30.75028	49.04615	-110.61619	-1130.47146	Labridae	Austrolabrus	maculatus	37384025	3	AD	Passing			
