OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
GB-BV-001	0	1	20240326_BRUVS 1_L15_GX010005.MP4	32176	17.89345	20240326_BRUVS 1_L15_GX010005.MP4	140068	77.89345	1
GB-BV-068	0	1	20240326_BRUVS 2_L17_GX010007.MP4	8351	4.64409	20240326_BRUVS 2_L17_GX010007.MP4	116243	64.64409	1
GB-BV-032	0	1	20240326_BRUVS 3_L19_GX010003.MP4	9487	5.27583	20240326_BRUVS 3_L19_GX010003.MP4	117379	65.27583	1
GB-BV-052	0	1	20240326_BRUVS 4_L21_GX010005.MP4	14420	8.01913	20240326_BRUVS 4_L21_GX010005.MP4	122312	68.01913	1
GB-BV-080	0	1	20240326_BRUVS 5_L23_GX010003.MP4	17671	9.82705	20240326_BRUVS 5_L23_GX010003.MP4	125563	69.82705	1
GB-BV-162	0	1	20240326_BRUVS 6_L95_GX010003.MP4	11039	6.13892	20240326_BRUVS 6_L95_GX010003.MP4	118931	66.13892	1
GB-BV-084	0	1	20240326_BRUVS 7_L27_GX010002.MP4	5956	3.31220	20240326_BRUVS 7_L27_GX010002.MP4	113848	63.31220	1
GB-BV-174	0	1	20240326_BRUVS 8_L29_GX010003.MP4	10756	5.98154	20240326_BRUVS 8_L29_GX010003.MP4	118648	65.98154	1
GB-BV-150	0	1	20240326_BRUVS 10_L33_GX010006.MP4	8825	4.98943	20240326_BRUVS 10_L33_GX020006.MP4	45677	64.98937	1
GB-BV-134	0	1	20240326_BRUVS 9_L31_GX010005.MP4	12150	6.75676	20240326_BRUVS 9_L31_GX020005.MP4	49002	66.75676	1
GB-BV-003	0	1	20240326_BRUVS 1_L15_GX010006.MP4	7061	3.92670	20240326_BRUVS 1_L15_GX010006.MP4	114953	63.92670	1
GB-BV-014	0	1	20240326_BRUVS 2_L17_GX010008.MP4	11826	6.57658	20240326_BRUVS 2_L17_GX010008.MP4	119718	66.57658	1
GB-BV-083	0	1	20240326_BRUVS 3_L19_GX010004.MP4	19915	11.07496	20240326_BRUVS 3_L19_GX010004.MP4	127807	71.07496	1
GB-BV-067	0	1	20240326_BRUVS 4_L21_GX010006.MP4	12353	6.86965	20240326_BRUVS 4_L21_GX010006.MP4	120245	66.86965	1
GB-BV-166	0	1	20240326_BRUVS 6_L95_GX010004.MP4	10813	6.01324	20240326_BRUVS 6_L95_GX010004.MP4	118705	66.01324	1
GB-BV-008	0	1	20240326_BRUVS 5_L23_GX010004.MP4	7266	4.04071	20240326_BRUVS 5_L23_GX010004.MP4	115158	64.04071	1
GB-BV-100	0	1	20240326_BRUVS 7_L27_GX010003.MP4	12494	6.94805	20240326_BRUVS 7_L27_GX010003.MP4	120386	66.94799	1
GB-BV-118	0	1	20240326_BRUVS 8_L29_GX010004.MP4	14401	8.00856	20240326_BRUVS 8_L29_GX010004.MP4	122293	68.00856	1
GB-BV-020	0	1	20240326_BRUVS 9_L31_GX010006.MP4	16251	9.03737	20240326_BRUVS 9_L31_GX020006.MP4	49263	69.03737	1
GB-BV-108	0	1	20240326_BRUVS 10_L33_GX010007.MP4	15031	8.35891	20240326_BRUVS 10_L33_GX020007.MP4	43	68.35891	1
GB-BV-085	0	1	20240326_BRUVS 1_L15_GX010007.MP4	11092	6.16839	20240326_BRUVS 1_L15_GX010007.MP4	118984	66.16839	1
GB-BV-069	0	1	20240326_BRUVS 2_L17_GX010009.MP4	8715	4.84651	20240326_BRUVS 2_L17_GX010009.MP4	116607	64.84651	1
GB-BV-129	0	1	20240326_BRUVS 3_L19_GX010005.MP4	21742	12.09098	20240326_BRUVS 3_L19_GX010005.MP4	129634	72.09098	1
GB-BV-073	0	1	20240326_BRUVS 4_L21_GX010007.MP4	14434	8.02692	20240326_BRUVS 4_L21_GX010007.MP4	122326	68.02692	1
GB-BV-113	0	1	20240326_BRUVS 5_L23_GX010005.MP4	16594	9.22812	20240326_BRUVS 5_L23_GX010005.MP4	124486	69.22812	1
GB-BV-057	0	1	20240326_BRUVS 6_L95_GX010005.MP4	3953	2.19831	20240326_BRUVS 6_L95_GX010005.MP4	111845	62.19831	1
GB-BV-125	0	1	20240326_BRUVS 7_L27_GX010004.MP4	25547	14.20698	20240326_BRUVS 7_L27_GX010004.MP4	133439	74.20698	1
GB-BV-041	0	1	20240326_BRUVS 8_L29_GX010005.MP4	7296	4.05739	20240326_BRUVS 8_L29_GX010005.MP4	115188	64.05739	1
GB-BV-109	0	1	20240326_BRUVS 9_L31_GX010007.MP4	4405	2.44967	20240326_BRUVS 9_L31_GX020007.MP4	41257	62.44967	1
GB-BV-053	0	1	20240326_BRUVS 10_L33_GX010008.MP4	4543	2.52642	20240326_BRUVS 10_L33_GX020008.MP4	41395	62.52642	1
GB-BV-088	0	1	20240327_BRUVS 1_L15_GX010008.MP4	42294	23.52016	20240327_BRUVS 1_L15_GX020008.MP4	4266	83.52010	1
GB-BV-170	0	1	20240327_BRUVS 2_L17_GX010010.MP4	10445	5.80859	20240327_BRUVS 2_L17_GX010010.MP4	118337	65.80859	1
GB-BV-146	0	1	20240327_BRUVS 3_L19_GX010006.MP4	7364	4.09521	20240327_BRUVS 3_L19_GX010006.MP4	115256	64.09521	1
GB-BV-215	0	1	20240328_BRUVS 3_L19_GX010012.MP4	6433	3.57746	20240328_BRUVS 3_L19_GX010012.MP4	114325	63.57740	1
GB-BV-237	0	1	20240403_BRUVS 1_L15_GX010020.MP4	5545	3.08364	20240403_BRUVS 1_L15_GX010020.MP4	113437	63.08358	1
GB-BV-031	0	1	20240328_BRUVS 4_L21_GX010013.MP4	17652	9.81647	20240328_BRUVS 4_L21_GX010013.MP4	125544	69.81641	1
GB-BV-163	0	1	20240328_BRUVS 5_L23_GX010011.MP4	18602	10.34478	20240328_BRUVS 5_L23_GX010011.MP4	126494	70.34472	1
GB-BV-167	0	1	20240403_BRUVS 7_L27_GX010021.MP4	19953	11.09608	20240403_BRUVS 7_L27_GX010021.MP4	127845	71.09603	1
GB-BV-214	0	1	20240328_BRUVS 2_L17_GX010015.MP4	9224	5.12957	20240328_BRUVS 2_L17_GX010015.MP4	117116	65.12951	1
GB-BV-139	0	1	20240403_BRUVS 1_L15_GX010021.MP4	5504	3.06084	20240403_BRUVS 1_L15_GX010021.MP4	113396	63.06078	1
GB-BV-072	0	1	20240327_BRUVS 4_L21_GX010008.MP4	14264	7.93237	20240327_BRUVS 4_L21_GX010008.MP4	122156	67.93231	1
GB-BV-016	0	1	20240327_BRUVS 5_L23_GX010006.MP4	8325	4.62963	20240327_BRUVS 5_L23_GX010006.MP4	116217	64.62956	1
GB-BV-056	0	1	20240327_BRUVS 6_L95_GX010006.MP4	3994	2.22111	20240327_BRUVS 6_L95_GX010006.MP4	111886	62.22105	1
GB-BV-099	0	1	20240327_BRUVS 7_L27_GX010012.MP4	35331	19.64796	20240327_BRUVS 7_L27_GX010012.MP4	143223	79.64790	1
GB-BV-130	0	1	20240327_BRUVS 8_L29_GX010006.MP4	12750	7.09042	20240327_BRUVS 8_L29_GX010006.MP4	120642	67.09036	1
GB-BV-154	0	1	20240327_BRUVS 10_L33_GX010009.MP4	14872	8.27048	20240327_BRUVS 10_L33_GX010009.MP4	122764	68.27042	1
GB-BV-012	0	1	20240327_BRUVS 1_L15_GX010009.MP4	7674	4.26760	20240327_BRUVS 1_L15_GX010009.MP4	115566	64.26754	1
GB-BV-048	0	1	20240327_BRUVS 2_L17_GX010011.MP4	11824	6.57546	20240327_BRUVS 2_L17_GX010011.MP4	119716	66.57540	1
GB-BV-060	0	1	20240327_BRUVS 4_L21_GX010009.MP4	6552	3.64364	20240327_BRUVS 4_L21_GX010009.MP4	114444	63.64358	1
GB-BV-178	0	1	20240327_BRUVS 5_L23_GX010007.MP4	8855	4.92436	20240327_BRUVS 5_L23_GX010007.MP4	116747	64.92430	1
GB-BV-092	0	1	20240327_BRUVS 6_L95_GX010007.MP4	28659	15.93759	20240327_BRUVS 6_L95_GX010007.MP4	136551	75.93753	1
GB-BV-138	0	1	20240327_BRUVS 7_L27_GX010013.MP4	12749	7.08986	20240327_BRUVS 7_L27_GX010013.MP4	120641	67.08980	1
GB-BV-064	0	1	20240327_BRUVS 8_L29_GX010007.MP4	7344	4.08408	20240327_BRUVS 8_L29_GX010007.MP4	115236	64.08402	1
GB-BV-104	0	1	20240327_BRUVS 10_L33_GX010010.MP4	21244	11.81402	20240327_BRUVS 10_L33_GX020010.MP4	33136	71.81396	1
GB-BV-076	0	1	20240327_BRUVS 1_L15_GX010010.MP4	18951	10.53886	20240327_BRUVS 1_L15_GX010010.MP4	126843	70.53880	1
GB-BV-005	0	1	20240327_BRUVS 2_L17_GX010012.MP4	8989	4.99888	20240327_BRUVS 2_L17_GX010012.MP4	116881	64.99882	1
GB-BV-145	0	1	20240327_BRUVS 3_L19_GX010009.MP4	19089	10.61560	20240327_BRUVS 3_L19_GX010009.MP4	126981	70.61555	1
GB-BV-089	0	1	20240327_BRUVS 4_L21_GX010010.MP4	7696	4.27983	20240327_BRUVS 4_L21_GX010010.MP4	115588	64.27977	1
GB-BV-161	0	1	20240327_BRUVS 5_L23_GX010008.MP4	9935	5.52496	20240327_BRUVS 5_L23_GX010008.MP4	117827	65.52490	1
GB-BV-141	0	1	20240327_BRUVS 6_L95_GX010008.MP4	9413	5.23467	20240327_BRUVS 6_L95_GX010008.MP4	117305	65.23461	1
GB-BV-033	0	1	20240327_BRUVS 7_L27_GX010014.MP4	15203	8.45456	20240327_BRUVS 7_L27_GX010014.MP4	123095	68.45450	1
GB-BV-157	0	1	20240327_BRUVS 10_L33_GX010011.MP4	5343	2.97130	20240327_BRUVS 10_L33_GX020011.MP4	42195	62.97124	1
GB-BV-013	0	1	20240327_BRUVS 1_L15_GX010011.MP4	2841	1.57991	20240327_BRUVS 1_L15_GX010011.MP4	110733	61.57985	1
GB-BV-198	0	1	20240328_BRUVS 1_L15_GX010012.MP4	31229	17.36679	20240328_BRUVS 1_L15_GX010012.MP4	139121	77.36673	1
GB-BV-122	0	1	20240327_BRUVS 3_L19_GX010008.MP4	25286	14.06183	20240327_BRUVS 3_L19_GX010008.MP4	133178	74.06177	1
GB-BV-131	0	1	20240328_BRUVS 5_L23_GX010009.MP4	9464	5.26304	20240328_BRUVS 5_L23_GX010009.MP4	117356	65.26298	1
GB-BV-205	0	1	20240328_BRUVS 6_L95_GX010009.MP4	4799	2.66878	20240328_BRUVS 6_L95_GX010009.MP4	112691	62.66872	1
GB-BV-209	0	1	20240328_BRUVS 8_L29_GX010009.MP4	2838	1.57824	20240328_BRUVS 8_L29_GX010009.MP4	110730	61.57818	1
GB-BV-208	0	1	20240328_BRUVS 10_L33_GX010013.MP4	2421	1.34634	20240328_BRUVS 10_L33_GX010013.MP4	110313	61.34629	1
GB-BV-210	0	1	20240328_BRUVS 1_L15_GX010013.MP4	23497	13.06694	20240328_BRUVS 1_L15_GX010013.MP4	131389	73.06688	1
GB-BV-010	0	1	20240403_BRUVS 8_R30_GX010016.MP4	33928	18.86774	20240403_BRUVS 8_R30_GX010016.MP4	141820	78.86768	1
GB-BV-213	0	1	20240403_BRUVS 8_R30_GX010015.MP4	5753	3.19931	20240403_BRUVS 8_R30_GX010015.MP4	113645	63.19925	1
GB-BV-042	0	1	20240409_BRUVS 8_L29_GX010026.MP4	12029	6.68946	20240409_BRUVS 8_L29_GX010026.MP4	119921	66.68940	1
GB-BV-004	0	1	20240409_BRUVS 10_L33_GX010029.MP4	24499	13.62417	20240409_BRUVS 10_L33_GX010029.MP4	132391	73.62411	1
GB-BV-070	0	1	20240409_BRUVS 9_L31_GX010052.MP4	11660	6.48426	20240409_BRUVS 9_L31_GX010052.MP4	119552	66.48420	1
GB-BV-086	0	1	20240409_BRUVS 7_L27_GX010032.MP4	10767	5.98765	20240409_BRUVS 7_L27_GX010032.MP4	118659	65.98759	1
GB-BV-035	0	1	20240409_BRUVS 5_L23_GX010025.MP4	18226	10.13568	20240409_BRUVS 5_L23_GX010025.MP4	126118	70.13562	1
GB-BV-065	0	1	20240403_BRUVS 10_L33_GX010019.MP4	5883	3.27160	20240403_BRUVS 10_L33_GX010019.MP4	113775	63.27154	1
GB-BV-155	0	1	20240403_BRUVS 9_L31_GX010043.MP4	37265	20.72348	20240403_BRUVS 9_L31_GX010043.MP4	145157	80.72342	1
GB-BV-049	0	1	20240403_BRUVS 2_L17_GX010019.MP4	5849	3.25269	20240403_BRUVS 2_L17_GX010019.MP4	113741	63.25263	1
GB-BV-217	0	1	20240403_BRUVS 10_L33_GX010018.MP4	1888	1.04994	20240403_BRUVS 10_L33_GX010018.MP4	109780	61.04988	1
GB-BV-221	0	1	20240403_BRUVS 9_L31_GX010016.MP4	19828	11.02657	20240403_BRUVS 9_L31_GX010016.MP4	127720	71.02651	1
GB-BV-229	0	1	20240403_BRUVS 6_L95_GX010016.MP4	3757	2.08931	20240403_BRUVS 6_L95_GX010016.MP4	111649	62.08925	1
GB-BV-028	0	1	20240402_BRUVS 3_L19_GX010016.MP4	13605	7.56589	20240402_BRUVS 3_L19_GX010016.MP4	121497	67.56583	1
GB-BV-007	0	1	20240328_BRUVS 10_L33_GX010015.MP4	9975	5.54721	20240328_BRUVS 10_L33_GX010015.MP4	117867	65.54715	1
GB-BV-074	0	1	20240328_BRUVS 8_L29_GX010011.MP4	7845	4.36269	20240328_BRUVS 8_L29_GX010011.MP4	115737	64.36263	1
GB-BV-135	0	1	20240328_BRUVS 7_L27_GX010017.MP4	116096	64.56228	20240328_BRUVS 7_L27_GX020017.MP4	78068	124.56222	1
GB-BV-175	0	1	20240328_BRUVS 6_L95_GX010011.MP4	52481	29.18527	20240328_BRUVS 6_L95_GX020011.MP4	14453	89.18521	1
GB-BV-226	0	1	20240403_BRUVS 7_L27_GX010020.MP4	5116	2.84506	20240403_BRUVS 7_L27_GX010020.MP4	113008	62.84500	1
GB-BV-123	0	1	20240403_BRUVS 6_L95_GX010017.MP4	9775	5.43599	20240403_BRUVS 6_L95_GX010017.MP4	117667	65.43593	1
