Dot Point Measurements

Generated: Thursday 13 February 2025 14:29:49

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
GB-BV-001_1_X.JPG	      0		4430	4901											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							95.5
GB-BV-001_1_X.JPG	      0		3487	2718											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							0.8
GB-BV-001_1_X.JPG	      0		3831	217											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							99.7
GB-BV-001_1_X.JPG	      0		3979	2236											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							27.0
GB-BV-001_1_X.JPG	      0		4519	1199											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							72.6
GB-BV-001_1_X.JPG	      0		3164	3424											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							31.6
GB-BV-001_1_X.JPG	      0		4109	4564											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							78.4
GB-BV-001_1_X.JPG	      0		3733	4636											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							77.8
GB-BV-001_1_X.JPG	      0		3611	2087											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							24.9
GB-BV-001_1_X.JPG	      0		2664	2174											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							38.7
GB-BV-001_1_X.JPG	      0		2909	4641											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							80.7
GB-BV-001_1_X.JPG	      0		4613	2529											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							45.5
GB-BV-001_1_X.JPG	      0		2856	3804											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							50.6
GB-BV-001_1_X.JPG	      0		2473	398											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								100.0
GB-BV-001_1_X.JPG	      0		3416	3124											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							17.2
GB-BV-001_1_X.JPG	      0		2627	409											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Unscorable								97.3
GB-BV-001_1_X.JPG	      0		3115	3964											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							52.5
GB-BV-001_1_X.JPG	      0		3535	2188											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							20.4
GB-BV-001_1_X.JPG	      0		3802	252											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							98.2
GB-BV-001_1_X.JPG	      0		2771	4488											2024-04_Geographe_stereo-BRUVs	No	GB-BV-001	1					Substrate	Unconsolidated (soft)							76.7
GB-BV-002_1_X.JPG	      0		4101	364											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				98.6
GB-BV-002_1_X.JPG	      0		4332	3557											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				32.5
GB-BV-002_1_X.JPG	      0		2595	2712											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Unscorable								43.5
GB-BV-002_1_X.JPG	      0		4112	2581											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				20.2
GB-BV-002_1_X.JPG	      0		3814	4372											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				53.7
GB-BV-002_1_X.JPG	      0		3141	1832											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				47.5
GB-BV-002_1_X.JPG	      0		4342	2646											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				26.0
GB-BV-002_1_X.JPG	      0		4620	3010											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Seagrasses	Strap-like leaves			Posidonia spp				33.9
GB-BV-002_1_X.JPG	      0		3146	2236											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Substrate	Unconsolidated (soft)							34.6
GB-BV-002_1_X.JPG	      0		3013	2971											2024-04_Geographe_stereo-BRUVs	No	GB-BV-002	1					Substrate	Unconsolidated (soft)							26.8
