OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
GB-BV-001	0	20240326_BRUVS 1_L15_GX010005.MP4	718	20240326_BRUVS 1_R16_GX010008.MP4	2698	0.39929		-1.00000	-19.42823	138.03580	-1317.37317	0.81636	0.91807	4.50649	6.91742	1324.72767	6.29224								Sync		
GB-BV-001	18	20240326_BRUVS 1_L15_GX010005.MP4	74150	20240326_BRUVS 1_R16_GX010008.MP4	76130	41.23568	1	23.34223	466.34650	-238.45560	-2158.60686	2.85140	1.91181	12.15168	0.54705	2221.24373	13.52497	Urolophidae	Trygonoptera	mucosa	37038015	1	AD	Passing			
GB-BV-001	20	20240326_BRUVS 1_L15_GX010005.MP4	90449	20240326_BRUVS 1_R16_GX010008.MP4	92429	50.29974	1	32.40630	92.09225	-7.72836	-1569.75208	1.02481	0.95574	6.35992	0.07918	1572.47013	3.35758	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
GB-BV-001	23	20240326_BRUVS 1_L15_GX010005.MP4	113658	20240326_BRUVS 1_R16_GX010008.MP4	115638	63.20654	1	45.31309	1144.02508	-134.62323	-2436.35606	7.49955	1.78710	16.19007	0.04438	2694.94854	25.27642	Neosebastidae	Neosebastes	pandus	37287003	1	AD	Passing			
GB-BV-001	24	20240326_BRUVS 1_L15_GX010005.MP4	115749	20240326_BRUVS 1_R16_GX010008.MP4	117729	64.36937	1	46.47592	602.43382	81.11150	-3055.32034	5.00079	1.93057	24.12719	0.02577	3115.20271	11.28905	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-001	25	20240326_BRUVS 1_L15_GX010005.MP4	116463	20240326_BRUVS 1_R16_GX010008.MP4	118443	64.76643	1	46.87298	-1805.11382	282.35949	-6621.34363	30.59094	5.87947	112.53821	1.44564	6868.79569	15.46738	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-001	26	20240326_BRUVS 1_L15_GX010005.MP4	116639	20240326_BRUVS 1_R16_GX010008.MP4	118619	64.86431	1	46.97086	1122.22704	543.97359	-5924.73991	17.26763	8.64381	90.15910	1.63831	6054.57213	11.99996	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-068	0	20240326_BRUVS 2_L17_GX010007.MP4	720	20240326_BRUVS 2_R18_GX010007.MP4	507	0.40040		-1.00000	40.23641	66.63494	-1805.50349	1.11725	1.13116	8.15655	2.21359	1807.18069	2.56224								Sync		
GB-BV-068	11	20240326_BRUVS 2_L17_GX010007.MP4	32099	20240326_BRUVS 2_R18_GX010007.MP4	31886	17.85063	1	13.20654	-605.37962	-58.20872	-1271.88662	2.05358	0.80943	4.24041	0.14391	1409.81144	25.54531	Neosebastidae	Neosebastes	pandus	37287003	1	AD	Passing			
GB-BV-068	34	20240326_BRUVS 2_L17_GX010007.MP4	54310	20240326_BRUVS 2_R18_GX010007.MP4	54097	30.20242	1	25.55834	360.16607	30.99281	-1399.00047	1.49147	0.86448	5.06246	0.65703	1444.95068	14.49784	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
GB-BV-068	35	20240326_BRUVS 2_L17_GX010007.MP4	54410	20240326_BRUVS 2_R18_GX010007.MP4	54197	30.25804	1	25.61395	-34.84627	-195.81905	-975.91009	0.61951	0.77212	2.45313	0.41281	995.97182	11.41250	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
GB-BV-068	36	20240326_BRUVS 2_L17_GX010007.MP4	54528	20240326_BRUVS 2_R18_GX010007.MP4	54315	30.32366	1	25.67957	69.00191	37.86109	-1435.03305	0.91385	0.88267	5.19596	0.35875	1437.18982	3.19299	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
GB-BV-068	37	20240326_BRUVS 2_L17_GX010007.MP4	57701	20240326_BRUVS 2_R18_GX010007.MP4	57488	32.08820	1	27.44411	-280.61529	1557.36898	-6864.26624	6.28588	26.51958	116.67737	1.35133	7044.30934	13.08872	Unknown	Unknown	Unknown	0	1	AD	Passing			
GB-BV-068	43	20240326_BRUVS 2_L17_GX010007.MP4	87137	20240326_BRUVS 2_R18_GX010007.MP4	86924	48.45790	1	43.81381	3692.34574	2850.05934	-8528.93999	80.82149	62.50806	188.10146	0.36267	9721.06335	28.74012	Carcharhinidae	Carcharhinus	spp		1	AD	Passing			
GB-BV-068	44	20240326_BRUVS 2_L17_GX010007.MP4	93512	20240326_BRUVS 2_R18_GX010007.MP4	93299	52.00311	1	47.35903	2297.83593	1147.12682	-4387.55392	26.04216	13.28417	50.41001	0.79516	5083.95312	30.39125	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-068	45	20240326_BRUVS 2_L17_GX010007.MP4	93703	20240326_BRUVS 2_R18_GX010007.MP4	93490	52.10933	1	47.46524	1820.11665	1376.60486	-4841.32699	22.63974	17.30820	60.63228	0.32303	5352.22501	25.30361	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-068	46	20240326_BRUVS 2_L17_GX010007.MP4	93751	20240326_BRUVS 2_R18_GX010007.MP4	93538	52.13602	1	47.49194	1528.86106	1600.66222	-7195.38734	27.78944	29.01344	130.34515	0.45211	7528.15613	17.17796	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-068	55	20240326_BRUVS 2_L17_GX010007.MP4	114198	20240326_BRUVS 2_R18_GX010007.MP4	113985	63.50684	1	58.86275	35.55373	-13.77488	-1348.22556	0.83968	0.82312	4.59247	0.39610	1348.76461	1.58395	Labridae	Coris	auricularis	37384088	3	AD	Passing			
GB-BV-032	0	20240326_BRUVS 3_L19_GX010003.MP4	675	20240326_BRUVS 3_R20_GX010003.MP4	2965	0.37538		-1.00000	64.13110	57.99888	-1170.30221	0.74689	0.73419	3.58785	0.54784	1173.49220	4.32134								Sync		
GB-BV-032	1	20240326_BRUVS 3_L19_GX010003.MP4	37674	20240326_BRUVS 3_R20_GX010003.MP4	39964	20.95095	1	15.67512	222.23636	-250.14585	-2486.50101	2.04025	2.21632	15.87783	0.65788	2508.91395	7.55952	Myliobatidae	Myliobatis	tenuicaudatus	37039001	2	AD	Passing			
GB-BV-032	2	20240326_BRUVS 3_L19_GX010003.MP4	37699	20240326_BRUVS 3_R20_GX010003.MP4	39989	20.96485	1	15.68902	35.78797	-277.18565	-1211.66148	0.75973	1.14659	3.84543	1.30559	1243.47747	12.84922	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-032	28	20240326_BRUVS 3_L19_GX010003.MP4	115661	20240326_BRUVS 3_R20_GX010003.MP4	117951	64.32043	1	59.04460	-552.01065	-328.00055	-906.40636	1.32334	0.94552	2.10815	4.91888	1110.79819	35.24233	Paralichthyidae	Pseudorhombus	spp		1	AD	Passing			
GB-BV-052	0	20240326_BRUVS 4_L21_GX010005.MP4	1838	20240326_BRUVS 4_R22_GX010005.MP4	1529	1.02213		-1.00000	-19.00325	24.55764	-1118.34485	0.69615	0.68510	3.69077	3.69515	1118.77585	1.98454								Sync		
GB-BV-052	2	20240326_BRUVS 4_L21_GX010005.MP4	19558	20240326_BRUVS 4_R22_GX010005.MP4	19249	10.87643	1	2.85730	1509.66789	-38.47007	-2045.35325	9.46461	1.32855	13.49445	0.67824	2542.44901	36.43040	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
GB-BV-052	11	20240326_BRUVS 4_L21_GX010005.MP4	76511	20240326_BRUVS 4_R22_GX010005.MP4	76202	42.54866	1	34.52953	-835.57560	541.45240	-2866.62882	7.08876	4.69680	24.29801	0.17420	3034.61993	19.41406	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-052	12	20240326_BRUVS 4_L21_GX010005.MP4	76548	20240326_BRUVS 4_R22_GX010005.MP4	76239	42.56924	1	34.55011	1969.37891	963.48551	-4671.04481	27.43017	13.30681	66.04802	1.39728	5159.98229	25.35436	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
GB-BV-080	0	20240326_BRUVS 5_L23_GX010003.MP4	2559	20240326_BRUVS 5_R24_GX010003.MP4	1653	1.42309		-1.00000	-25.02798	95.18541	-965.98077	0.61175	0.63361	2.39383	0.83875	970.98172	6.13558								Sync		
GB-BV-080	2	20240326_BRUVS 5_L23_GX010003.MP4	22255	20240326_BRUVS 5_R24_GX010003.MP4	21349	12.37627	1	2.54922	-1188.04145	1089.70763	-8678.33331	25.87144	22.90398	186.25253	1.73456	8826.79864	10.74800	Unknown	Unknown	Unknown	0	1	AD	Passing			
GB-BV-080	3	20240326_BRUVS 5_L23_GX010003.MP4	22255	20240326_BRUVS 5_R24_GX010003.MP4	21349	12.37627	1	2.54922	-2197.84211	1333.36459	-7558.93072	42.05175	25.11430	145.00342	0.73597	7984.09699	18.95460	Unknown	Unknown	Unknown	0	1	AD	Passing			
GB-BV-080	6	20240326_BRUVS 5_L23_GX010003.MP4	28971	20240326_BRUVS 5_R24_GX010003.MP4	28065	16.11111	1	6.28406	24.31439	-137.50633	-1451.05876	0.89864	1.02788	5.27548	0.35389	1457.76223	5.17395	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
GB-BV-080	8	20240326_BRUVS 5_L23_GX010003.MP4	55493	20240326_BRUVS 5_R24_GX010003.MP4	54587	30.86030	1	21.03326	623.65531	391.32565	-1392.47121	2.34136	1.65822	5.18604	1.68052	1575.13738	28.04312	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-080	9	20240326_BRUVS 5_L23_GX010003.MP4	55493	20240326_BRUVS 5_R24_GX010003.MP4	54587	30.86030	1	21.03326	664.42409	346.72681	-1415.10193	2.52444	1.54870	5.37225	0.25795	1601.30957	28.05937	Carangidae	Pseudocaranx	spp		1	AD	Passing			
GB-BV-162	0	20240326_BRUVS 6_L95_GX010003.MP4	2239	20240326_BRUVS 6_R96_GX010003.MP4	1798	1.24513		-1.00000	-54.71761	71.02226	-1127.53545	0.71990	0.72123	3.25634	3.22894	1131.09432	4.62711								Sync		
GB-BV-162	6	20240326_BRUVS 6_L95_GX010003.MP4	24281	20240326_BRUVS 6_R96_GX010003.MP4	23840	13.50295	1	7.36403	-3766.57600	735.81147	-8088.03728	80.56597	16.30686	174.27875	3.23397	8952.36618	25.40398	Unknown	Unknown	Unknown	0	1	AD	Passing			
GB-BV-162	18	20240326_BRUVS 6_L95_GX010003.MP4	95018	20240326_BRUVS 6_R96_GX010003.MP4	94577	52.84062	1	46.70170	-561.58930	-320.10224	-2145.57795	3.26704	2.21670	11.88835	1.24410	2240.83750	16.71628	Dasyatidae	Bathytoshia	brevicaudata	37035001	1	AD	Passing			
GB-BV-162	19	20240326_BRUVS 6_L95_GX010003.MP4	98899	20240326_BRUVS 6_R96_GX010003.MP4	98458	54.99889	1	48.85997	1723.58698	75.42336	-3421.40841	15.31591	2.18369	30.67357	4.61624	3831.77195	26.76402	Urolophidae	Trygonoptera	mucosa	37038015	1	AD	Passing			
