OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
GB-BV-001	0	0	1023.46275	411.04478	824.00839	423.13433
GB-BV-001	1	0	911.87129	395.92849	985.49505	394.02860
GB-BV-001	1	1	948.25743	401.01540	1021.28713	399.41474
GB-BV-001	2	0	901.16832	571.22772	882.65347	564.16832
GB-BV-001	2	1	984.58416	581.25743	965.02970	580.20792
GB-BV-001	3	0	1148.21782	500.58416	1121.46535	504.69307
GB-BV-001	3	1	1201.48515	500.18812	1172.15842	505.08911
GB-BV-001	4	0	489.19802	450.22772	464.80198	440.93069
GB-BV-001	4	1	551.57426	446.96040	528.96040	439.14851
GB-BV-001	5	0	637.89109	483.72277	577.34653	474.78218
GB-BV-001	5	1	578.78218	480.15842	525.38614	470.03960
GB-BV-001	6	0	1199.23762	549.51485	1156.25743	556.76238
GB-BV-001	6	1	1148.34653	539.81188	1108.93069	544.88119
GB-BV-001	7	0	726.91089	560.18812	700.87129	550.45545
GB-BV-001	7	1	666.01980	552.76238	648.29703	541.24752
GB-BV-001	8	0	28.51485	486.64356	65.94059	465.34653
GB-BV-001	8	1	116.23762	483.47525	143.16832	466.93069
GB-BV-001	9	0	1005.66337	722.15842	942.09901	726.00000
GB-BV-001	9	1	900.00990	712.89109	809.02970	706.39604
GB-BV-001	10	0	1026.03960	713.38614	948.42574	714.92079
GB-BV-001	10	1	947.22772	704.67327	876.14851	702.04950
GB-BV-001	11	0	1138.77228	786.79318	718.76238	789.23322
GB-BV-001	11	1	1295.29703	743.12211	855.80198	753.61056
GB-BV-001	12	0	1161.88119	770.29703	834.69307	777.74257
GB-BV-001	12	1	1046.93069	758.41584	715.58416	753.98020
GB-BV-001	13	0	577.80198	575.46535	348.51485	556.14851
GB-BV-001	13	1	689.78218	550.51485	464.65347	537.73267
GB-BV-001	14	0	643.14851	510.65017	408.58416	498.88669
GB-BV-001	14	1	749.93069	486.11331	516.40594	480.03520
GB-BV-001	15	0	1156.50495	665.73267	1067.34653	673.67327
GB-BV-001	15	1	1217.69307	655.33663	1139.22772	666.24752
GB-BV-001	16	0	1145.74257	647.08911	1061.30693	652.86139
GB-BV-001	16	1	1210.79208	622.73267	1124.57426	631.47525
GB-BV-001	17	0	751.10891	527.18592	667.37624	514.77558
GB-BV-001	17	1	619.52475	505.94059	533.82178	495.41364
GB-BV-001	18	0	1209.85360	659.50717	1174.55087	671.93495
GB-BV-001	19	0	1368.59406	505.52475	1384.46535	515.90099
GB-BV-001	19	1	1476.01980	486.18812	1494.96040	498.07921
GB-BV-001	20	0	1077.58416	543.27723	941.21782	545.00990
GB-BV-001	21	0	1675.23762	379.39604	1865.04950	381.81188
GB-BV-001	21	1	1466.12871	399.59406	1612.57426	403.79208
GB-BV-001	22	0	1147.34653	564.28713	984.86139	568.20792
GB-BV-001	22	1	1583.63366	346.09901	1438.12871	338.33663
GB-BV-001	23	0	1461.51485	588.14851	1491.83168	608.85149
GB-BV-001	24	0	1149.45409	505.20948	1192.00000	509.67475
GB-BV-001	25	0	547.20844	500.21830	695.81390	488.29327
GB-BV-001	26	0	1096.35980	431.46968	1227.91563	432.33958
GB-BV-001	27	0	1175.51485	643.76788	1158.28713	643.39824
GB-BV-001	27	1	868.51485	633.26733	861.53465	629.93289
GB-BV-001	28	0	1455.76238	803.27943	1224.72277	831.53135
GB-BV-001	28	1	912.47525	778.21782	690.62376	759.25633
GB-BV-068	0	0	1027.49213	493.65672	918.69885	497.68657
GB-BV-068	1	0	1716.01980	347.10671	1679.83168	365.68097
GB-BV-068	1	1	1905.74257	312.47525	1868.91089	330.29703
GB-BV-068	2	0	463.17327	500.07701	429.50990	476.14411
GB-BV-068	2	1	509.21287	489.37954	471.46535	469.18702
GB-BV-068	3	0	729.59901	500.19472	647.07426	489.07261
GB-BV-068	3	1	696.03465	478.42574	613.73267	466.40594
GB-BV-068	4	0	1179.80198	619.59406	890.30693	620.32673
GB-BV-068	4	1	1109.10891	680.78218	795.45545	679.73267
GB-BV-068	5	0	1128.15842	476.09901	854.60396	474.73267
GB-BV-068	5	1	1208.55446	482.43564	933.81188	484.63366
GB-BV-068	6	0	1144.94554	435.15072	893.50000	431.62816
GB-BV-068	6	1	976.85644	512.26953	731.43069	504.24202
GB-BV-068	7	0	1107.76733	420.32783	980.79703	423.41474
GB-BV-068	7	1	1164.20297	427.35974	1033.44554	432.16722
GB-BV-068	8	0	586.37624	502.91749	551.34653	485.83058
GB-BV-068	8	1	604.79208	535.08471	566.80198	516.63366
GB-BV-068	9	0	1485.04950	516.46535	1207.16832	534.46535
GB-BV-068	9	1	1822.87129	528.17822	1564.71287	562.55446
GB-BV-068	10	0	1193.83663	508.38834	993.50495	513.63146
GB-BV-068	10	1	1359.00495	385.41474	1180.12376	392.17162
GB-BV-068	11	0	505.74752	600.21122	311.48515	565.35314
GB-BV-068	12	0	1634.97525	300.92189	1606.95545	313.47855
GB-BV-068	12	1	1822.88614	267.55336	1788.31683	278.69087
GB-BV-068	13	0	1003.05941	324.75248	548.84158	314.77228
GB-BV-068	13	1	789.49505	377.32673	337.35644	359.32673
GB-BV-068	14	0	1053.05941	137.42574	717.60396	137.51485
GB-BV-068	14	1	1207.21782	90.79208	878.28713	84.35644
GB-BV-068	15	0	1506.07921	360.09901	1062.88119	358.94059
GB-BV-068	15	1	1720.23762	354.75248	1255.35644	360.72277
GB-BV-068	16	0	955.14851	310.26733	791.42574	309.63366
GB-BV-068	16	1	1065.24752	286.30693	879.94059	284.28713
GB-BV-068	17	0	1025.07921	520.01980	726.24752	513.13861
GB-BV-068	17	1	868.24752	542.29703	569.41584	527.69307
GB-BV-068	18	0	1405.00990	541.42574	953.54455	550.24752
GB-BV-068	18	1	1558.88119	388.37624	1066.50495	393.98020
GB-BV-068	19	0	980.18812	290.58416	717.43564	289.44554
GB-BV-068	19	1	1111.47525	266.22772	865.05941	263.30693
GB-BV-068	20	0	846.69307	405.23762	587.87129	396.57426
GB-BV-068	20	1	714.81188	442.66337	471.13861	427.46535
GB-BV-068	21	0	1559.40594	423.64356	1548.07921	445.22772
GB-BV-068	21	1	1478.61386	423.34653	1464.31683	442.55446
GB-BV-068	22	0	1578.64356	370.82178	1573.33663	387.47525
GB-BV-068	22	1	1494.58416	387.15842	1487.49505	405.00000
GB-BV-068	23	0	1432.67327	498.93069	1156.97030	514.16832
GB-BV-068	23	1	1565.74257	442.19802	1312.91089	458.92079
GB-BV-068	24	0	1535.00000	317.48515	1479.13861	328.00990
GB-BV-068	24	1	1443.91089	292.53465	1384.88119	302.66337
GB-BV-068	25	0	1493.65347	388.26733	1496.57426	406.05941
GB-BV-068	25	1	1416.02970	398.36634	1416.17822	414.77228
GB-BV-068	26	0	1842.17822	410.58416	1194.50495	411.82178
GB-BV-068	26	1	1563.56436	495.53465	906.38614	497.36634
