OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
CF1-1	5	CF1-1_L9_GX010013.MP4	13321	CF1-1_R9_GX010011.MP4	13778	3.70397	60	2.08069	-604.09141	-399.79528	-1118.98819	1.19154	0.88652	2.01413	5.49559	1333.00310	32.92309	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
CF1-1	37	CF1-1_L9_GX010013.MP4	97341	CF1-1_R9_GX010011.MP4	97798	27.06615	60	25.44287	-934.30174	-172.38112	-1703.46085	2.67220	1.00301	4.90791	0.37948	1950.49067	29.15138	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
CF1-1	46	CF1-1_L9_GX010013.MP4	148700	CF1-1_R9_GX010011.MP4	149157	41.34678	60	39.72349	8.21833	-51.44320	-524.98630	0.28062	0.30512	0.60708	0.21703	527.56474	5.67610	Pomacentridae	Chromis	klunzingeri		2	AD	Passing			
CF1-1	47	CF1-1_L9_GX010013.MP4	148702	CF1-1_R9_GX010011.MP4	149159	41.34733	60	39.72405	-1073.75794	633.22241	-1955.37081	3.26514	2.13665	6.12537	17.13409	2318.92254	32.51320	Pomacentridae	Chromis	klunzingeri		1	AD	Passing			
CF1-1	48	CF1-1_L9_GX010013.MP4	148708	CF1-1_R9_GX010011.MP4	149165	41.34900	60	39.72572	-1228.63459	1212.16605	-4361.79205	11.10252	11.27065	40.16871	7.89815	4690.85487	21.58208	Pomacentridae	Chromis	klunzingeri		1	AD	Passing			
CF1-1	49	CF1-1_L9_GX010013.MP4	148732	CF1-1_R9_GX010011.MP4	149189	41.35568	60	39.73239	-940.16268	1348.05800	-3907.05118	7.74522	11.25553	32.47881	4.68723	4238.65724	22.80679	Pomacentridae	Chromis	klunzingeri		1	AD	Passing			
CF1-1	50	CF1-1_L9_GX010013.MP4	148735	CF1-1_R9_GX010011.MP4	149192	41.35651	60	39.73323	-2870.92376	1845.51332	-6592.80678	34.09690	22.55218	80.41836	6.14957	7423.82811	27.36453	Pomacentridae	Chromis	klunzingeri		1	AD	Passing			
CF1-1	51	CF1-1_L9_GX010013.MP4	148735	CF1-1_R9_GX010011.MP4	149192	41.35651	60	39.73323	-1099.24507	810.13298	-2434.89026	4.67304	3.66876	10.65081	1.38432	2791.65645	29.27893	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
CF1-1	52	CF1-1_L9_GX010013.MP4	148742	CF1-1_R9_GX010011.MP4	149199	41.35846	60	39.73517	-1580.98374	1482.84549	-5199.47466	16.63562	16.03438	55.98375	16.79908	5633.19421	22.62407	Pomacentridae	Chromis	klunzingeri		1	AD	Passing			
CF1-1	53	CF1-1_L9_GX010013.MP4	148742	CF1-1_R9_GX010011.MP4	149199	41.35846	60	39.73517	-1473.77993	1114.61103	-4628.10121	13.82382	10.85660	44.43403	6.98182	4983.34284	21.75920	Pomacentridae	Chromis	klunzingeri		1	AD	Passing			
