OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF1-1	0	0	1576.90993	260.70395	1793.55953	260.19737
CF1-1	0	1	1649.75386	253.30263	1903.12153	248.35526
CF1-1	1	0	1721.30783	511.08553	1689.12276	554.67763
CF1-1	1	1	1803.62739	496.87500	1778.84516	539.57895
CF1-1	2	0	529.88155	806.28947	455.29426	822.45395
CF1-1	2	1	494.34793	856.61842	422.72178	869.52632
CF1-1	3	0	1247.62369	577.41447	1219.14312	616.76316
CF1-1	3	1	1414.63171	590.14474	1392.96175	633.93421
CF1-1	4	0	1360.72116	730.03289	1247.20666	775.92105
CF1-1	4	1	1183.92474	659.25658	1096.05120	698.38816
CF1-1	5	0	364.81184	1050.39474	13.02899	1063.42105
CF1-1	6	0	973.96299	392.38816	926.88094	428.60526
CF1-1	6	1	808.13942	387.65132	772.01357	423.57237
CF1-1	7	0	473.40592	841.94737	69.58667	872.09211
CF1-1	7	1	661.14189	846.38816	330.16656	876.23684
CF1-1	8	0	598.83282	748.71711	509.37138	767.09211
CF1-1	8	1	677.89513	739.83553	599.98211	766.20395
CF1-1	9	0	1344.22579	699.96711	772.37138	746.55263
CF1-1	9	1	1674.52190	634.96711	1022.62924	674.49342
CF1-1	10	0	626.66811	397.71053	492.16286	437.36184
CF1-1	10	1	733.26897	357.44737	584.84639	395.61842
CF1-1	11	0	864.78347	842.20395	676.15731	879.26316
CF1-1	11	1	716.72671	775.00000	533.13448	808.21053
CF1-1	12	0	769.44911	764.68421	420.99260	792.59211
CF1-1	12	1	603.62554	889.02632	261.97964	916.04605
CF1-1	13	0	615.34176	909.34211	391.59963	929.63816
CF1-1	13	1	482.09068	928.88158	254.79519	951.25000
CF1-1	14	0	967.54658	763.20395	554.73041	800.00000
CF1-1	14	1	1059.04565	702.51316	657.77791	737.82895
CF1-1	15	0	640.37631	358.53947	553.84639	392.17763
CF1-1	15	1	678.87107	399.39474	597.37508	432.44079
CF1-1	16	0	1385.65330	424.43421	1037.28871	469.46053
CF1-1	16	1	1467.97286	347.46053	1096.51141	396.63158
CF1-1	17	0	744.79395	427.39474	788.95928	462.76316
CF1-1	17	1	714.59038	428.18421	761.12461	464.34211
CF1-1	18	0	564.73103	634.02632	374.70204	663.89474
CF1-1	18	1	473.82418	597.61184	275.50401	629.84868
CF1-1	19	0	1374.35965	721.86842	1253.84701	769.15132
CF1-1	19	1	1302.99630	704.40132	1189.88649	747.24342
CF1-1	20	0	873.60457	365.09211	552.37261	390.55263
CF1-1	20	1	793.35780	418.38158	482.48982	445.02632
CF1-1	21	0	1330.45404	777.41447	1225.76928	827.23684
CF1-1	21	1	1244.87724	743.07237	1153.22147	787.86184
CF1-1	22	0	762.73165	920.41447	644.08513	939.96711
CF1-1	22	1	711.80012	965.11842	575.97903	982.89474
CF1-1	23	0	391.51696	235.26316	428.53979	294.98684
CF1-1	23	1	347.98828	199.73684	392.41394	266.26974
CF1-1	24	0	1670.96854	508.76974	916.83775	561.09211
CF1-1	24	1	1532.38742	386.20395	818.23196	440.89474
CF1-1	25	0	244.68846	267.47368	232.57557	320.30263
CF1-1	25	1	320.78964	269.25000	301.27390	322.96711
CF1-1	26	0	1402.67674	785.82237	1242.42011	830.59211
CF1-1	26	1	1284.82357	798.25658	1124.86305	837.69737
CF1-1	27	0	441.44540	254.15132	397.78285	302.41447
CF1-1	27	1	389.03331	245.86184	352.47748	298.56579
CF1-1	28	0	784.25478	601.38158	440.37138	628.78289
CF1-1	28	1	693.94016	636.90789	330.51326	659.57237
CF1-1	29	0	708.74090	737.84868	572.32819	767.37500
CF1-1	29	1	765.29858	705.28289	625.62862	735.99342
CF1-1	30	0	253.31339	454.23026	316.38742	489.57895
CF1-1	30	1	313.72054	457.48684	363.17335	492.83553
CF1-1	31	0	964.13695	987.92763	709.74152	1031.59211
CF1-1	31	1	920.31215	931.38158	681.61073	975.63816
CF1-1	32	0	826.03085	712.77632	681.51203	745.48026
CF1-1	32	1	702.55151	697.67763	530.49414	727.12500
CF1-1	33	0	520.58976	252.86842	555.37076	306.28289
CF1-1	33	1	467.28933	236.58553	513.61875	293.25658
CF1-1	34	0	1725.55460	617.44079	1815.76804	676.57237
CF1-1	34	1	1545.81370	606.78289	1591.90623	657.62500
CF1-1	35	0	439.17335	118.54605	455.51758	179.44737
CF1-1	35	1	581.01172	239.03947	582.55028	284.84211
CF1-1	36	0	700.01234	664.34211	700.01234	691.57895
CF1-1	36	1	991.38803	607.50000	964.14559	643.02632
CF1-1	37	0	245.44417	672.92763	176.98890	690.23684
CF1-1	38	0	628.60025	812.48026	586.57557	829.38158
CF1-1	38	1	696.41024	793.82895	661.49229	816.35526
CF1-1	39	0	696.26465	640.61842	281.59099	681.23684
CF1-1	39	1	833.36521	556.24342	395.00247	596.26974
CF1-1	40	0	1034.96299	898.81579	916.63911	937.30263
CF1-1	40	1	945.24059	885.49342	829.28563	917.17105
CF1-1	41	0	675.23134	781.00658	475.00308	793.01974
CF1-1	41	1	730.60457	867.75000	541.33251	872.65789
CF1-1	42	0	322.60457	550.51316	148.41209	571.54605
CF1-1	42	1	467.10796	585.74342	290.84269	606.18421
CF1-1	43	0	97.42134	287.58553	145.09562	334.67763
CF1-1	43	1	270.35163	355.38158	267.39050	392.40789
CF1-1	44	0	974.71067	467.13158	648.66749	500.76974
CF1-1	44	1	757.06724	394.89474	383.88094	418.40789
CF1-1	45	0	584.60457	765.92105	540.49784	782.11184
CF1-1	45	1	690.31709	762.07237	640.28809	785.96053
CF1-1	46	0	1438.48898	642.76119	527.84890	677.01493
CF1-1	47	0	156.34793	37.89474	187.14374	106.57895
CF1-1	48	0	522.58051	148.13816	662.48304	209.26316
CF1-1	49	0	585.67242	53.88158	702.15299	121.61184
CF1-1	50	0	223.86181	108.94737	486.81061	201.31579
CF1-1	51	0	300.18888	34.25373	370.70304	122.91045
CF1-1	52	0	472.08945	134.09868	645.14312	197.12500
CF1-1	53	0	464.98273	196.26974	622.04627	256.63158
CF1-1	54	0	447.51203	73.70395	631.81801	148.27632
CF1-1	55	0	396.87662	92.05921	602.50278	174.32895
CF1-1	56	0	534.56076	132.75000	672.04133	193.80921
CF1-1	57	0	591.71067	51.63158	702.83714	126.60526
CF1-1	58	0	684.39420	49.26316	741.03578	105.28947
CF1-1	59	0	218.09624	41.74342	489.69217	149.10526
CF1-1	60	0	274.65392	47.66447	524.33745	147.03289
CF1-1	61	0	482.79457	177.05263	635.41024	241.84211
CF1-1	62	0	370.71129	99.17763	585.41579	183.48026
CF1-1	63	0	460.85379	446.61184	634.72178	483.98026
CF1-1	64	0	569.72239	1052.76316	387.31647	1077.63158
CF1-1	64	1	992.57249	1018.42105	890.70944	1056.31579
CF1-1	65	0	1357.67674	789.80921	1079.14312	844.89474
CF1-1	65	1	1222.05676	738.59211	990.60518	775.91447
CF1-1	66	0	1219.47748	910.50658	819.85194	929.35526
CF1-1	66	1	1061.94510	870.83553	668.24183	934.38816
CF1-1	67	0	1187.98458	700.44737	884.37631	727.69079
CF1-1	67	1	1322.42011	717.02632	996.60333	753.44737
CF1-1	68	0	1447.11413	808.34868	1129.96977	849.63816
CF1-1	68	1	1302.31462	790.28947	989.13387	831.28289
CF1-1	69	0	383.96792	615.96053	250.51203	640.11184
CF1-1	69	1	184.68353	584.57895	110.74645	601.92105
CF1-3	0	0	1497.77421	814.44079	1485.09439	818.07895
CF1-3	0	1	1427.89143	748.12500	1432.09007	746.13816
CF1-3	1	0	409.28933	510.91447	396.06046	501.00658
CF1-3	1	1	343.25601	495.51974	347.79395	486.50000
CF1-3	2	0	1066.08945	767.01316	970.52252	756.48026
CF1-3	2	1	989.09994	804.31579	900.63973	786.97368
CF1-3	3	0	615.76002	551.55263	702.42011	540.12500
CF1-3	3	1	545.58112	529.34868	640.53239	518.51316
CF1-3	4	0	1692.85626	486.24342	1691.10426	465.86842
CF1-3	4	1	1826.69957	443.90789	1806.58853	418.20395
CF1-3	5	0	601.70265	491.44737	344.67613	478.42105
CF1-3	5	1	365.99630	441.71053	94.75632	429.86842
CF1-3	6	0	548.84577	601.92105	207.39112	584.79605
CF1-3	6	1	365.84762	607.84211	17.28624	588.64474
CF1-3	7	0	1369.94201	757.76974	1128.86181	741.53289
CF1-3	7	1	1189.01666	734.97368	970.14497	719.62500
CF1-3	8	0	628.11351	364.33553	429.54596	351.31579
CF1-3	8	1	780.31585	409.33553	579.97162	393.94737
CF1-3	9	0	916.71129	690.02632	867.31339	674.09868
CF1-3	9	1	982.15238	710.45395	926.83220	696.89474
CF1-3	10	0	580.79581	588.84211	52.70820	569.52632
CF1-3	10	1	798.43924	565.75000	328.38988	550.57895
CF1-3	11	0	633.74090	645.35526	409.25540	632.04605
CF1-3	11	1	790.08883	580.51974	584.85071	568.69079
CF1-3	12	0	163.45466	378.26316	10.95620	373.56579
CF1-3	12	1	272.72054	394.54605	157.23627	388.66447
CF1-3	13	0	1134.13880	412.13816	904.39482	394.35526
CF1-3	13	1	962.98519	451.21711	735.01789	434.02632
CF1-3	14	0	851.62246	879.86842	497.47070	862.10526
CF1-3	14	1	254.65762	877.50000	55.07711	851.44737
CF1-3	15	0	297.53856	568.21053	230.27514	549.28947
CF1-3	15	1	606.68106	644.88816	514.92104	621.53289
CF1-3	16	0	603.95435	870.09868	377.38063	830.72368
CF1-3	16	1	487.58174	995.32895	208.29981	958.02632
CF1-3	17	0	393.13819	818.26316	171.74584	790.82895
CF1-3	17	1	605.59531	623.06579	411.00555	612.23684
