OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
CF1-1	Belle Mullins	34		Date	17/02/2024	Time	13:45:47	Location	Ngari Capes	Site	CF1	Status	Fished	Latitude	-34.03173347	Longitude	114.9630679	Visibility	
CF1-2	Belle Mullins	35		Date	17/02/2024	Time	13:41:56	Location	Ngari Capes	Site	CF1	Status	Fished	Latitude	-34.03477328	Longitude	114.9618176	Visibility	
CF1-3	Belle Mullins	33		Date	17/02/2024	Time	13:59:40	Location	Ngari Capes	Site	CF1	Status	Fished	Latitude	-34.02833703	Longitude	114.9645395	Visibility	
CF1-4	Nidhi	35		Date	17/02/2024	Time	13:55:35	Location	Ngari Capes	Site	CF1	Status	Fished	Latitude	-34.03049647	Longitude	114.9596724	Visibility	
CF1-5	Belle Mullins	23		Date	17/02/2024	Time	13:50:21	Location	Ngari Capes	Site	CF1	Status	Fished	Latitude	-34.0314446	Longitude	114.9672181	Visibility	
CF2-1	Belle Mullins	35		Date	18/02/2024	Time	12:10:12	Location	Ngari Capes	Site	CF2	Status	Fished	Latitude	-34.04882763	Longitude	114.9615251	Visibility	
CF2-2	Belle Mullins	34		Date	18/02/2024	Time	12:13:45	Location	Ngari Capes	Site	CF2	Status	Fished	Latitude	-34.04885642	Longitude	114.9581501	Visibility	
CF2-3	Belle Mullins	34		Date	18/02/2024	Time	12:16:38	Location	Ngari Capes	Site	CF2	Status	Fished	Latitude	-34.04614553	Longitude	114.9615516	Visibility	
CF2-4	Belle Mullins	32		Date	18/02/2024	Time	12:03:02	Location	Ngari Capes	Site	CF2	Status	Fished	Latitude	-34.05187022	Longitude	114.9614303	Visibility	
CF2-5	Belle Mullins	32		Date	18/02/2024	Time	12:05:53	Location	Ngari Capes	Site	CF2	Status	Fished	Latitude	-34.05022763	Longitude	114.9645072	Visibility	
CF3-1	Belle Mullins	35		Date	18/02/2024	Time	11:50:35	Location	Ngari Capes	Site	CF3	Status	No-take	Latitude	-34.07060458	Longitude	114.9600988	Visibility	
CF3-2	Belle Mullins	28		Date	18/02/2024	Time	11:57:33	Location	Ngari Capes	Site	CF3	Status	No-take	Latitude	-34.06770152	Longitude	114.959271	Visibility	
CF3-3	Belle Mullins	33		Date	18/02/2024	Time	11:53:58	Location	Ngari Capes	Site	CF3	Status	No-take	Latitude	-34.07025552	Longitude	114.9557442	Visibility	
CF3-4	Belle Mullins	32		Date	18/02/2024	Time	11:47:11	Location	Ngari Capes	Site	CF3	Status	No-take	Latitude	-34.07080053	Longitude	114.9639244	Visibility	
CF3-5	Belle Mullins	34		Date	18/02/2024	Time	11:44:23	Location	Ngari Capes	Site	CF3	Status	No-take	Latitude	-34.07358433	Longitude	114.9588213	Visibility	
CF4-1	Belle Mullins	33		Date	18/02/2024	Time	10:10:18	Location	Ngari Capes	Site	CF4	Status	No-take	Latitude	-34.08754717	Longitude	114.9633138	Visibility	
CF4-2	Belle Mullins	33		Date	18/02/2024	Time	10:13:34	Location	Ngari Capes	Site	CF4	Status	No-take	Latitude	-34.08807385	Longitude	114.9595879	Visibility	
CF4-3	Belle Mullins	33		Date	18/02/2024	Time	10:16:13	Location	Ngari Capes	Site	CF4	Status	No-take	Latitude	-34.08496047	Longitude	114.9611276	Visibility	
CF4-4	Belle Mullins	33		Date	18/02/2024	Time	10:19:12	Location	Ngari Capes	Site	CF4	Status	No-take	Latitude	-34.08608947	Longitude	114.9668564	Visibility	
CF4-5	Belle Mullins	32		Date	18/02/2024	Time	10:07:56	Location	Ngari Capes	Site	CF4	Status	No-take	Latitude	-34.08977418	Longitude	114.9656054	Visibility	
CF5-1	Belle Mullins	32		Date	18/02/2024	Time	9:59:21	Location	Ngari Capes	Site	CF5	Status	No-take	Latitude	-34.10426937	Longitude	114.959977	Visibility	
CF5-2	Belle Mullins	37		Date	18/02/2024	Time	10:01:46	Location	Ngari Capes	Site	CF5	Status	No-take	Latitude	-34.10275713	Longitude	114.9568119	Visibility	
CF5-3	Belle Mullins	38		Date	18/02/2024	Time	9:53:18	Location	Ngari Capes	Site	CF5	Status	No-take	Latitude	-34.10806518	Longitude	114.956583	Visibility	
CF5-4	Belle Mullins	33		Date	18/02/2024	Time	9:50:30	Location	Ngari Capes	Site	CF5	Status	No-take	Latitude	-34.10718065	Longitude	114.9596545	Visibility	
CF5-5	Belle Mullins	40		Date	18/02/2024	Time	9:55:59	Location	Ngari Capes	Site	CF5	Status	No-take	Latitude	-34.10528595	Longitude	114.9542246	Visibility	
CF6-1	Belle Mullins	32		Date	18/02/2024	Time	8:09:13	Location	Ngari Capes	Site	CF6	Status	Fished	Latitude	-34.12747602	Longitude	114.9704378	Visibility	
CF6-2	Belle Mullins	37		Date	18/02/2024	Time	8:04:24	Location	Ngari Capes	Site	CF6	Status	Fished	Latitude	-34.13100002	Longitude	114.9651927	Visibility	
CF6-3	Belle Mullins	32		Date	18/02/2024	Time	8:01:20	Location	Ngari Capes	Site	CF6	Status	Fished	Latitude	-34.13106193	Longitude	114.9707304	Visibility	
CF6-4	Belle Mullins	35		Date	18/02/2024	Time	8:12:38	Location	Ngari Capes	Site	CF6	Status	Fished	Latitude	-34.12856532	Longitude	114.9674699	Visibility	
CF6-5	Belle Mullins	37		Date	18/02/2024	Time	8:15:26	Location	Ngari Capes	Site	CF6	Status	Fished	Latitude	-34.12697952	Longitude	114.9640873	Visibility	
CF7-1	Belle Mullins	33		Date	18/02/2024	Time	7:52:05	Location	Ngari Capes	Site	CF7	Status	Fished	Latitude	-34.1445476	Longitude	114.9777757	Visibility	
CF7-2	Belle Mullins	34		Date	18/02/2024	Time	7:44:54	Location	Ngari Capes	Site	CF7	Status	Fished	Latitude	-34.14780387	Longitude	114.9772656	Visibility	
CF7-3	Belle Mullins	32		Date	18/02/2024	Time	7:41:14	Location	Ngari Capes	Site	CF7	Status	Fished	Latitude	-34.1458502	Longitude	114.981461	Visibility	
CF7-4	Belle Mullins	35		Date	18/02/2024	Time	7:54:55	Location	Ngari Capes	Site	CF7	Status	Fished	Latitude	-34.14461112	Longitude	114.9735967	Visibility	
CF7-5	Belle Mullins	32		Date	18/02/2024	Time	7:49:00	Location	Ngari Capes	Site	CF7	Status	Fished	Latitude	-34.14155213	Longitude	114.9792093	Visibility	
CL1-1	Belle Mullins	26		Date	19/02/2024	Time	9:17:27	Location	Ngari Capes	Site	CL1	Status	Fished	Latitude	-34.35738465	Longitude	115.0641301	Visibility	
CL1-2	Belle Mullins	28		Date	19/02/2024	Time	9:12:07	Location	Ngari Capes	Site	CL1	Status	Fished	Latitude	-34.3555034	Longitude	115.0617505	Visibility	
CL1-3	Belle Mullins	30		Date	19/02/2024	Time	9:14:27	Location	Ngari Capes	Site	CL1	Status	Fished	Latitude	-34.3584267	Longitude	115.0614947	Visibility	
CL1-4	Belle Mullins	22		Date	19/02/2024	Time	9:09:33	Location	Ngari Capes	Site	CL1	Status	Fished	Latitude	-34.35533462	Longitude	115.0657459	Visibility	
CL1-5	Belle Mullins	22		Date	19/02/2024	Time	9:19:46	Location	Ngari Capes	Site	CL1	Status	Fished	Latitude	-34.35769202	Longitude	115.0671867	Visibility	
CL2-1	Belle Mullins	27		Date	19/02/2024	Time	9:31:52	Location	Ngari Capes	Site	CL2	Status	Fished	Latitude	-34.36453757	Longitude	115.0729773	Visibility	
CL2-2	Belle Mullins	26		Date	19/02/2024	Time	9:22:38	Location	Ngari Capes	Site	CL2	Status	Fished	Latitude	-34.36200398	Longitude	115.0727547	Visibility	
CL2-3	Belle Mullins	22		Date	19/02/2024	Time	9:35:00	Location	Ngari Capes	Site	CL2	Status	Fished	Latitude	-34.36383397	Longitude	115.0758329	Visibility	
CL2-4	Belle Mullins	29		Date	19/02/2024	Time	9:25:07	Location	Ngari Capes	Site	CL2	Status	Fished	Latitude	-34.36365113	Longitude	115.0701177	Visibility	
CL2-5	Belle Mullins	29		Date	19/02/2024	Time	9:29:42	Location	Ngari Capes	Site	CL2	Status	Fished	Latitude	-34.36632113	Longitude	115.0706228	Visibility	
CL3-1	Belle Mullins	27		Date	19/02/2024	Time	11:11:51	Location	Ngari Capes	Site	CL3	Status	No-take	Latitude	-34.37880013	Longitude	115.0884664	Visibility	
CL3-2	Belle Mullins	24		Date	19/02/2024	Time	11:06:49	Location	Ngari Capes	Site	CL3	Status	No-take	Latitude	-34.37802613	Longitude	115.085734	Visibility	
CL3-3	Belle Mullins	28		Date	19/02/2024	Time	11:09:24	Location	Ngari Capes	Site	CL3	Status	No-take	Latitude	-34.38023438	Longitude	115.0860879	Visibility	
CL3-4	Belle Mullins	27		Date	19/02/2024	Time	11:14:25	Location	Ngari Capes	Site	CL3	Status	No-take	Latitude	-34.38021182	Longitude	115.0909157	Visibility	
CL3-5	Belle Mullins	25		Date	19/02/2024	Time	11:04:06	Location	Ngari Capes	Site	CL3	Status	No-take	Latitude	-34.37658418	Longitude	115.0898914	Visibility	
CL4-1	Belle Mullins	27		Date	19/02/2024	Time	11:25:40	Location	Ngari Capes	Site	CL4	Status	No-take	Latitude	-34.38604443	Longitude	115.0988379	Visibility	
CL4-2	Belle Mullins	27		Date	19/02/2024	Time	11:18:01	Location	Ngari Capes	Site	CL4	Status	No-take	Latitude	-34.38347382	Longitude	115.0994062	Visibility	
CL4-3	Belle Mullins	28		Date	19/02/2024	Time	11:21:22	Location	Ngari Capes	Site	CL4	Status	No-take	Latitude	-34.38579242	Longitude	115.0955289	Visibility	
CL4-4	Belle Mullins	26		Date	19/02/2024	Time	11:27:51	Location	Ngari Capes	Site	CL4	Status	No-take	Latitude	-34.38606073	Longitude	115.1019724	Visibility	
CL4-5	Belle Mullins	29		Date	19/02/2024	Time	11:23:42	Location	Ngari Capes	Site	CL4	Status	No-take	Latitude	-34.3880188	Longitude	115.0967954	Visibility	
CL5-1	Belle Mullins	29		Date	19/02/2024	Time	15:06:23	Location	Ngari Capes	Site	CL5	Status	No-take	Latitude	-34.39314682	Longitude	115.1104418	Visibility	
CL5-2	Belle Mullins	27		Date	19/02/2024	Time	15:11:46	Location	Ngari Capes	Site	CL5	Status	No-take	Latitude	-34.39065872	Longitude	115.1095405	Visibility	
CL5-3	Belle Mullins	30		Date	19/02/2024	Time	15:09:02	Location	Ngari Capes	Site	CL5	Status	No-take	Latitude	-34.39271745	Longitude	115.1074262	Visibility	
CL5-4	Belle Mullins	27		Date	19/02/2024	Time	15:13:58	Location	Ngari Capes	Site	CL5	Status	No-take	Latitude	-34.39080323	Longitude	115.1130732	Visibility	
CL5-5	Belle Mullins	28		Date	19/02/2024	Time	15:03:51	Location	Ngari Capes	Site	CL5	Status	No-take	Latitude	-34.39335053	Longitude	115.1135813	Visibility	
CL6-1	Belle Mullins	30		Date	19/02/2024	Time	13:10:46	Location	Ngari Capes	Site	CL6	Status	Fished	Latitude	-34.40825513	Longitude	115.1216204	Visibility	
CL6-2	Belle Mullins	30		Date	19/02/2024	Time	13:07:56	Location	Ngari Capes	Site	CL6	Status	Fished	Latitude	-34.4065293	Longitude	115.1243669	Visibility	
CL6-3	Belle Mullins	30		Date	19/02/2024	Time	13:05:21	Location	Ngari Capes	Site	CL6	Status	Fished	Latitude	-34.405634	Longitude	115.1201434	Visibility	
CL6-4	Belle Mullins	24		Date	19/02/2024	Time	13:17:01	Location	Ngari Capes	Site	CL6	Status	Fished	Latitude	-34.41037335	Longitude	115.1191248	Visibility	
CL6-5	Belle Mullins	30		Date	19/02/2024	Time	13:14:22	Location	Ngari Capes	Site	CL6	Status	Fished	Latitude	-34.40805912	Longitude	115.1176383	Visibility	
CL7-1	Belle Mullins	32		Date	19/02/2024	Time	13:27:12	Location	Ngari Capes	Site	CL7	Status	Fished	Latitude	-34.41614272	Longitude	115.1300863	Visibility	
CL7-2	Belle Mullins	31		Date	19/02/2024	Time	13:20:49	Location	Ngari Capes	Site	CL7	Status	Fished	Latitude	-34.41323843	Longitude	115.1293174	Visibility	
CL7-3	Belle Mullins	33		Date	19/02/2024	Time	13:30:03	Location	Ngari Capes	Site	CL7	Status	Fished	Latitude	-34.41528687	Longitude	115.1261604	Visibility	
CL7-4	Belle Mullins	31		Date	19/02/2024	Time	13:24:13	Location	Ngari Capes	Site	CL7	Status	Fished	Latitude	-34.41584357	Longitude	115.1332605	Visibility	
CL7-5		31		Date	19/02/2024	Time	13:33:15	Location	Ngari Capes	Site	CL7	Status	Fished	Latitude	-34.41869977	Longitude	115.1294048	Visibility	
CNB1-1	Nidhi	21		Date	14/02/2024	Time	9:25:25	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.51987027	Longitude	115.0231149	Visibility	
CNB1-2	Nidhi Menon	19		Date	14/02/2024	Time	9:35:47	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.52180867	Longitude	115.0234808	Visibility	
CNB1-3	Nidhi	24		Date	14/02/2024	Time	9:48:36	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.51892727	Longitude	115.0253445	Visibility	
CNB1-4	Nidhi	27		Date	14/02/2024	Time	9:41:36	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.5174244	Longitude	115.0231664	Visibility	
CNB1-5	Nidhi Menon	19		Date	14/02/2024	Time	10:01:27	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.52145085	Longitude	115.0262758	Visibility	
CNB2-1	Nidhi	16		Date	14/02/2024	Time	10:15:03	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.5200519	Longitude	115.017059	Visibility	
CNB2-2	Nidhi	29		Date	14/02/2024	Time	10:28:12	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.51525638	Longitude	115.0163244	Visibility	
CNB2-3	Nidhi	33		Date	14/02/2024	Time	10:33:34	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.51857495	Longitude	115.0152655	Visibility	
CNB2-4	Nidhi	23		Date	14/02/2024	Time	10:45:50	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.51837692	Longitude	115.0180961	Visibility	
CNB2-5	Nidhi	26		Date	14/02/2024	Time	10:49:30	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.5171097	Longitude	115.0166196	Visibility	
CNB3-1	Belle Mullins	32		Date	14/02/2024	Time	12:48:42	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.5182261166667	Longitude	115.00645605	Visibility	
