OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
CF1-1	0	CF1-1_L9_GX010013.MP4	6061	CF1-1_R9_GX010011.MP4	6518	1.68529	60	0.06201	249.01848	24.53470	3.83026	5033.55142	29.89623	12.68141	3.85593	2352.34568	872.31434	-4363.73434	Serranidae	Caesioperca	spp		1	AD	Passing			
CF1-1	1	CF1-1_L9_GX010013.MP4	6780	CF1-1_R9_GX010011.MP4	7237	1.88521	60	0.26193	79.01749	5.04798	0.54601	2121.33258	29.52408	25.16731	13.62461	1045.21623	17.93658	-1845.87465	Labridae	Dotalabrus	alleni		1	AD	Passing			
CF1-1	2	CF1-1_L9_GX010013.MP4	11716	CF1-1_R9_GX010011.MP4	12173	3.25769	60	1.63441	76.54910	3.05242	0.70429	2015.65150	23.60637	8.56660	56.84273	-689.87560	-419.03975	-1846.97816	Labridae	Eupetrichthys	angustipes		1	AD	Passing			
CF1-1	3	CF1-1_L9_GX010013.MP4	11831	CF1-1_R9_GX010011.MP4	12288	3.28967	60	1.66638	266.71774	5.40601	0.63201	2263.52756	16.05388	13.69661	4.12998	615.86578	-111.95254	-2175.25470	Monacanthidae	Meuschenia	flavolineata		1	AD	Passing			
CF1-1	4	CF1-1_L9_GX010013.MP4	11988	CF1-1_R9_GX010011.MP4	12445	3.33332	60	1.71004	258.24842	6.42998	0.48345	1819.83676	14.00647	39.54881	17.12768	364.76088	-246.88568	-1765.73010	Monacanthidae	Meuschenia	flavolineata		1	AD	Passing			
CF1-1	6	CF1-1_L9_GX010013.MP4	49513	CF1-1_R9_GX010011.MP4	49970	13.76734	60	12.14405	288.38335	3.37969	1.12679	2157.11901	7.49084	9.40452	2.47665	-160.55040	230.88403	-2138.70955	Cheilodactylidae	Nemadactylus	valenciennesi		1	AD	Passing			
CF1-1	7	CF1-1_L9_GX010013.MP4	49676	CF1-1_R9_GX010011.MP4	50133	13.81266	60	12.18938	150.04826	2.10299	1.93355	1180.31299	26.15922	35.03394	14.02786	-454.96202	-252.55764	-1059.41633	Labridae	Pseudolabrus	biserialis		1	AD	Passing			
CF1-1	8	CF1-1_L9_GX010013.MP4	49798	CF1-1_R9_GX010011.MP4	50255	13.84658	60	12.22330	125.90062	7.43541	2.57403	1930.82280	18.51356	43.47259	5.63649	-528.96634	-309.96257	-1830.89991	Labridae	Pseudolabrus	biserialis		1	AD	Passing			
CF1-1	9	CF1-1_L9_GX010013.MP4	49798	CF1-1_R9_GX010011.MP4	50255	13.84658	60	12.22330	164.40373	0.75790	3.83402	742.21084	12.51776	12.71281	16.28391	134.40010	-88.40400	-724.56765	Labridae	Pseudolabrus	biserialis		1	AD	Passing			
CF1-1	10	CF1-1_L9_GX010013.MP4	49827	CF1-1_R9_GX010011.MP4	50284	13.85465	60	12.23136	141.91724	2.95215	1.96754	1613.21230	16.96896	16.44807	19.85888	-436.50185	176.46348	-1542.97787	Labridae	Pseudolabrus	biserialis		1	AD	Passing			
