opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,visibility_m,observer_habitat_forward,successful_habitat_forward,dbca_zone,dbca_sanctuary,campaign_id
CNB1-1,-33.51987027,115.0231149,2024-02-14T09:25:25+8:00,CNB1,Ngari Capes,Fished,21,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB1-2,-33.52180867,115.0234808,2024-02-14T09:35:47+8:00,CNB1,Ngari Capes,Fished,19,Yes,No,NM,,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB1-3,-33.51892727,115.0253445,2024-02-14T09:48:36+8:00,CNB1,Ngari Capes,Fished,24,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB1-4,-33.5174244,115.0231664,2024-02-14T09:41:36+8:00,CNB1,Ngari Capes,Fished,27,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB1-5,-33.52145085,115.0262758,2024-02-14T10:01:27+8:00,CNB1,Ngari Capes,Fished,19,Yes,No,NM,,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB2-1,-33.5200519,115.017059,2024-02-14T10:15:03+8:00,CNB2,Ngari Capes,Fished,16,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB2-2,-33.51525638,115.0163244,2024-02-14T10:28:12+8:00,CNB2,Ngari Capes,Fished,29,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB2-3,-33.51857495,115.0152655,2024-02-14T10:33:34+8:00,CNB2,Ngari Capes,Fished,33,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB2-4,-33.51837692,115.0180961,2024-02-14T10:45:50+8:00,CNB2,Ngari Capes,Fished,23,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB2-5,-33.5171097,115.0166196,2024-02-14T10:49:30+8:00,CNB2,Ngari Capes,Fished,26,Yes,Yes,NM,BM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB3-1,-33.51822612,115.0064561,2024-02-14T12:48:42+8:00,CNB3,Ngari Capes,No-take,32,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB3-2,-33.52057265,115.0054445,2024-02-14T12:53:44+8:00,CNB3,Ngari Capes,No-take,29,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB3-3,-33.52235223,115.0068621,2024-02-14T12:58:04+8:00,CNB3,Ngari Capes,No-take,27,Yes,Yes,NM,DC,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB3-4,-33.52224195,115.0100438,2024-02-14T13:02:20+8:00,CNB3,Ngari Capes,No-take,22,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB3-5,-33.52008323,115.0085451,2024-02-14T13:05:57+8:00,CNB3,Ngari Capes,No-take,27,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB4-1,-33.52201972,114.9986951,2024-02-14T13:11:26+8:00,CNB4,Ngari Capes,No-take,25,Yes,Yes,NM,DC,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
