OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
CF1-1	0	60	CF1-1_L9_GX010013.MP4	5838	1.62329	CF1-1_L9_GX010013.MP4	221623	61.62338	1
CF1-2	0	60	CF1-2_R1_GX010014.MP4	13163	3.66004	CF1-2_R1_GX020014.MP4	21588	63.66014	1
CF1-3	0	60	CF1-3_L8_GX010011_1.MP4	13688	3.80602	CF1-3_L8_GX020011_2.MP4	25953	63.80612	1
CF1-4	0	P2	CF1-4_L2_GX010014.MP4	12888	3.58357	CF1-4_L2_GX010014.MP4	230297	64.03523	1
CF1-5	0	60	CF1-5_R4_10014.MP4	8895	2.47330	CF1-5_R4_10014.MP4	224680	62.47340	1
CF2-1	0	60	CF2-1_L5_GX010012_1.MP4	12761	3.54826	CF2-1_L5_GX020012_2.MP4	32706	63.54836	1
CF2-2	0	60	CF2-2_L10__GX010019_1.MP4	13270	3.68979	CF2-2_L10__GX010019_1.MP4	199239	55.39940	1
CF2-3	0	60	CF2-3_L7_GX010011_1.MP4	10008	2.78277	CF2-3_L7_GX010011_1.MP4	225793	62.78287	1
CF2-4	0	60	CF2-4_L3_GX010014_1.MP4	21797	6.06076	CF2-4_L3_GX010014_1.MP4	237582	66.06086	1
CF2-5	0	60	CF2-5_L6_GX010021.MP4	13582	3.77654	CF2-5_L6_GX010021.MP4	229367	63.77664	1
CF3-1	0	60	CF3-1_L8_GX010014.MP4	12093	3.36252	CF3-1_L8_GX010014.MP4	227878	63.36262	1
CF3-2	0	60	CF3-2_L1_GX010018.MP4	12201	3.39255	CF3-2_L1_GX010018.MP4	227986	63.39265	1
CF3-3	0	60	CF3-3_L2_GX010017_1.MP4	15149	4.21226	CF3-3_L2_GX020017_2.MP4	23574	64.21235	1
CF3-4	0	60	CF3-4_L9_GX010017.MP4	9321	2.59175	CF3-4_L9_GX010017.MP4	225106	62.59185	1
CF3-5	0	60	CF3-5_L4_GX010018.MP4	11866	3.29940	CF3-5_L4_GX010018.MP4	227651	63.29950	1
CF4-1	0	60	CF4-1_L3_GX010013.MP4	9271	2.57785	CF4-1_L3_GX010013.MP4	225056	62.57795	1
CF4-2	0	60	CF4-2_L1_GX010017_1.MP4	11376	3.16315	CF4-2_L1_GX010017_1.MP4	227161	63.16325	1
CF4-3	0	60	CF4-3_L7_GX010010.MP4	9871	2.74468	CF4-3_L7_GX010010.MP4	225656	62.74478	1
CF4-4	0	60	CF4-4_L10__GX010017_1.MP4	10496	2.91847	CF4-4_L10__GX010017_1.MP4	226281	62.91856	1
CF4-5	0	60	CF4-5_L6_GX010020_1.MP4	22530	6.26458	CF4-5_L6_GX020020_2.MP4	38635	66.26468	1
CF5-1	0	60	CF5-1_L8_GX010013.MP4	13354	3.71315	CF5-1_L8_GX010013.MP4	229139	63.71324	1
CF5-2	0	60	CF5-2_L5_GX010011_1.MP4	9621	2.67517	CF5-2_L5_GX020011_2.MP4	2686	62.67527	1
CF5-3	0	60	CF5-3_L4_GX010017_1.MP4	11947	3.32192	CF5-3_L4_GX020017_2.MP4	1172	63.32202	1
CF5-4	0	60	CF5-4_L9_GX010016_1.MP4	11378	3.16371	CF5-4_L9_GX020016_2.MP4	27483	63.16381	1
CF5-5	0	60	CF5-5_L2_GX010016.MP4	8245	2.29256	CF5-5_L2_GX010016.MP4	224030	62.29266	1
CF6-1	0	60	CF6-1_L5_GX010010_1.MP4	19651	5.46406	CF6-1_L5_GX010010_1.MP4	235436	65.46416	1
CF6-2	0	60	CF6-2_L6_GX010019_1.MP4	12272	3.41229	CF6-2_L6_GX010019_1.MP4	228057	63.41239	1
CF6-3	0	60	CF6-3_L3_GX010012_1.MP4	22704	6.31296	CF6-3_L3_GX020012_2.MP4	42649	66.31306	1
CF6-4	0	60	CF6-4_L10__GX010016_1.MP4	15100	4.19863	CF6-4_L10__GX010016_1.MP4	230885	64.19873	1
CF6-5	0	60	CF6-5_L7_GX010009_1.MP4	10367	2.88260	CF6-5_L7_GX010009_1.MP4	226152	62.88269	1
CF7-1	0	60	CF7-1_L2_GX010015_1.MP4	16720	4.64908	CF7-1_L2_GX020015_2.MP4	32825	64.64918	1
CF7-2	0	60	CF7-2_L9_GX010014.MP4	7961	2.21360	CF7-2_L9_GX010014.MP4	223746	62.21369	1
CF7-3	0	60	CF7-3_L4_GX010016.MP4	4588	1.27572	CF7-3_L4_GX010016.MP4	220373	61.27581	1
CF7-4	0	60	CF7-4_L1_GX010016_1.MP4	9895	2.75135	CF7-4_L1_GX020016_2.MP4	33680	62.75145	1
CF7-5	0	60	CF7-5_L8_GX010012_1.MP4	14805	4.11660	CF7-5_L8_GX020012_2.MP4	34750	64.11670	1
CL1-1	0	60	CL1-1_L10__GX010020_1.MP4	8642	2.40295	CL1-1_L10__GX020020_2.MP4	28587	62.40305	1
CL1-2	0	60	CL1-2_L6_GX010022_1.MP4	9039	2.51334	CL1-2_L6_GX010022_1.MP4	224824	62.51344	1
CL1-3	0	60	CL1-3_L7_GX010012.MP4	8254	2.29507	CL1-3_L7_GX010012.MP4	224039	62.29516	1
CL1-4	0	60	CL1-4_L5_GX010013_1.MP4	9499	2.64124	CL1-4_L5_GX010013_1.MP4	225284	62.64134	1
CL1-5	0	60	CL1-5_L3_GX010015.MP4	8883	2.46996	CL1-5_L3_GX010015.MP4	224668	62.47006	1
CL2-1	0	60	CL2-1_L9_GX010018_1.MP4	6842	1.90245	CL2-1_L9_GX020018_2.MP4	30627	61.90255	1
CL2-2	0	60	CL2-2_L1_GX010019.MP4	11331	3.15064	CL2-2_L1_GX010019.MP4	227116	63.15074	1
