OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
CF1-1	1.09	2024 08 13 11:06:07	D:\20240228\	CF1-1.EMObs
CF1-2	1.09	2024 08 13 11:06:07	E:\20240228\	CF1-2.EMObs
CF1-3	1.09	2024 08 13 11:06:07	E:\20240228\	CF1-3.EMObs
CF1-4	1.09	2024 08 13 11:06:07	D:\20240223\	CF1-4.EMObs
CF1-5	1.09	2024 08 13 11:06:07	F:\20240228\	CF1-5.EMObs
CF2-1	1.09	2024 08 13 11:06:07	F:\20240228\	CF2-1.EMObs
CF2-2	1.09	2024 08 13 11:06:07	D:\20240228\	CF2-2.EMObs
CF2-3	1.09	2024 08 13 11:06:07	D:\20240228\	CF2-3.EMObs
CF2-4	1.09	2024 08 13 11:06:07	F:\20240228\	CF2-4.EMObs
CF2-5	1.09	2024 08 13 11:06:07	D:\20240228\	CF2-5.EMObs
CF3-1	1.09	2024 08 13 11:06:07	F:\20240228\	CF3-1.EMObs
CF3-2	1.09	2024 08 13 11:06:07	F:\20240228\	CF3-2.EMObs
CF3-3	1.09	2024 08 13 11:06:07	F:\20240228\	CF3-3.EMObs
CF3-4	1.09	2024 08 13 11:06:07	F:\20240228\	CF3-4.EMObs
CF3-5	1.09	2024 08 13 11:06:07	E:\20240228\	CF3-5.EMObs
CF4-1	1.09	2024 08 13 11:06:07	D:\20240228\	CF4-1.EMObs
CF4-2	1.09	2024 08 13 11:06:07	E:\20240228\	CF4-2.EMObs
CF4-3	1.09	2024 08 13 11:06:07	D:\20240228\	CF4-3.EMObs
CF4-4	1.09	2024 08 13 11:06:07	D:\20240228\	CF4-4.EMObs
CF4-5	1.09	2024 08 13 11:06:07	D:\20240228\	CF4-5.EMObs
CF5-1	1.09	2024 08 13 11:06:07	D:\20240228\	CF5-1.EMObs
CF5-2	1.09	2024 08 13 11:06:07	D:\20240228\	CF5-2.EMObs
CF5-3	1.09	2024 08 13 11:06:07	E:\20240228\	CF5-3.EMObs
CF5-4	1.09	2024 08 13 11:06:07	E:\20240228\	CF5-4.EMObs
CF5-5	1.09	2024 08 13 11:06:07	D:\20240228\	CF5-5.EMObs
CF6-1	1.09	2024 08 13 11:06:07	E:\20240228\	CF6-1.EMObs
CF6-2	1.09	2024 08 13 11:06:07	E:\20240228\	CF6-2.EMObs
CF6-3	1.09	2024 08 13 11:06:07	D:\20240228\	CF6-3.EMObs
CF6-4	1.09	2024 08 13 11:06:07	D:\20240228\	CF6-4.EMObs
CF6-5	1.09	2024 08 13 11:06:07	F:\20240228\	CF6-5.EMObs
CF7-1	1.09	2024 08 13 11:06:07	E:\20240228\	CF7-1.EMObs
CF7-2	1.09	2024 08 13 11:06:07	E:\20240228\	CF7-2.EMObs
CF7-3	1.09	2024 08 13 11:06:07	D:\20240228\	CF7-3.EMObs
CF7-4	1.09	2024 08 13 11:06:07	E:\20240228\	CF7-4.EMObs
CF7-5	1.09	2024 08 13 11:06:07	D:\20240228\	CF7-5.EMObs
CL1-1	1.09	2024 08 13 11:06:07	D:\20240228\	CL1-1.EMObs
CL1-2	1.09	2024 08 13 11:06:07	D:\20240228\	CL1-2.EMObs
CL1-3	1.09	2024 08 13 11:06:07	D:\20240228\	CL1-3.EMObs
CL1-4	1.09	2024 08 13 11:06:07	D:\20240228\	CL1-4.EMObs
CL1-5	1.09	2024 08 13 11:06:07	D:\20240228\	CL1-5.EMObs
CL2-1	1.09	2024 08 13 11:06:07	D:\20240228\	CL2-1.EMObs
CL2-2	1.09	2024 08 13 11:06:07	E:\20240228\	CL2-2.EMObs
CL2-3	1.09	2024 08 13 11:06:07	E:\20240228\	CL2-3.EMObs
CL2-4	1.09	2024 08 13 11:06:07	D:\20240228\	CL2-4.EMObs
CL2-5	1.09	2024 08 13 11:06:07	E:\20240228\	CL2-5.EMObs
CL3-1	1.09	2024 08 13 11:06:07	D:\20240228\	CL3-1.EMObs
CL3-2	1.09	2024 08 13 11:06:07	E:\20240228\	CL3-2.EMObs
CL3-3	1.09	2024 08 13 11:06:07	D:\20240228\	CL3-3.EMObs
CL3-4	1.09	2024 08 13 11:06:07	D:\20240228\	CL3-4.EMObs
CL3-5	1.09	2024 08 13 11:06:07	E:\20240228\	CL3-5.EMObs
CL4-1	1.09	2024 08 13 11:06:07	E:\20240228\	CL4-1.EMObs
CL4-2	1.09	2024 08 13 11:06:07	D:\20240228\	CL4-2.EMObs
CL4-3	1.09	2024 08 13 11:06:07	E:\20240228\	CL4-3.EMObs
CL4-4	1.09	2024 08 13 11:06:07	D:\20240228\	CL4-4.EMObs
CL4-5	1.09	2024 08 13 11:06:07	E:\20240228\	CL4-5.EMObs
CL5-1	1.09	2024 08 13 11:06:07	D:\20240228\	CL5-1.EMObs
CL5-2	1.09	2024 08 13 11:06:07	E:\20240228\	CL5-2.EMObs
CL5-3	1.09	2024 08 13 11:06:07	E:\20240228\	CL5-3.EMObs
CL5-4	1.09	2024 08 13 11:06:07	E:\20240228\	CL5-4.EMObs
CL5-5	1.09	2024 08 13 11:06:07	E:\20240228\	CL5-5.EMObs
CL6-1	1.09	2024 08 13 11:06:07	D:\20240228\	CL6-1.EMObs
CL6-2	1.09	2024 08 13 11:06:07	E:\20240228\	CL6-2.EMObs
CL6-3	1.09	2024 08 13 11:06:07	E:\20240228\	CL6-3.EMObs
CL6-4	1.09	2024 08 13 11:06:07	E:\20240228\	CL6-4.EMObs
CL6-5	1.09	2024 08 13 11:06:07	E:\20240228\	CL6-5.EMObs
CL7-1	1.09	2024 08 13 11:06:07	D:\20240228\	CL7-1.EMObs
CL7-2	1.09	2024 08 13 11:06:07	E:\20240228\	CL7-2.EMObs
CL7-3	1.09	2024 08 13 11:06:07	D:\20240228\	CL7-3.EMObs
CL7-4	1.09	2024 08 13 11:06:07	E:\20240228\	CL7-4.EMObs
CL7-5	1.09	2024 08 13 11:06:07	G:\20240228\	CL7-5.EMObs
CNB1-1	1.09	2024 08 13 11:06:07	F:\20240223\	CNB1-1.EMObs
CNB1-2	1.09	2024 08 13 11:06:07	G:\20240223\	CNB1-2.EMObs
CNB1-3	1.09	2024 08 13 11:06:07	F:\20240223\	CNB1-3.EMObs
CNB1-4	1.09	2024 08 13 11:06:07	F:\20240223\	CNB1-4.EMObs
CNB1-5	1.09	2024 08 13 11:06:07	G:\20240223\	CNB1-5.EMObs
CNB2-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB2-1.EMObs
CNB2-2	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-2.EMObs
CNB2-3	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-3.EMObs
CNB2-4	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-4.EMObs
CNB2-5	1.09	2024 08 13 11:06:07	F:\20240223\	CNB2-5.EMObs
CNB3-1	1.09	2024 08 13 11:06:07	D:\20240223\	CNB3-1.EMObs
CNB3-2	1.09	2024 08 13 11:06:07	D:\20240223\	CNB3-2.EMObs
