OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SWC-BV-001	0	20241024_BRUV 3_L19_GX010062.MP4	2159	20241024_BRUV 3_R20_GX010078.MP4	2009	1.20064		-1.00000																	Sync		
SWC-BV-002	0	20241025_BRUV 10_L33_GX010073.MP4	6907	20241025_BRUV 10_R34_GX010070.MP4	6680	3.84106		-1.00000																	sync		
SWC-BV-003	0	20241027_BRUV 8_L29_GX010016.MP4	1689	20241027_BRUV 8_R30_GX010062.MP4	1517	0.93927		-1.00000																	Sync		
SWC-BV-004	0	20241023_BRUV 3_L19_GX010059.MP4	3031	20241023_BRUV 3_R20_GX010075.MP4	2772	1.68557		-1.00000																	Sync		
SWC-BV-005	0	20241026_BRUV 1_L15_GX013116.MP4	8649	20241026_BRUV 1_R16_GX010073.MP4	8456	4.80980		-1.00000																	Sync		
SWC-BV-006	0	20241025_BRUV 2_L17_GX010071.MP4	2550	20241025_BRUV 2_R18_GX010071.MP4	2165	1.41808		-1.00000																	sync		
SWC-BV-007	0	20241028_BRUV 7_L27_GX010073.MP4	1698	20241028_BRUV 7_R28_GX010070.MP4	1462	0.94428		-1.00000																	sync		
SWC-BV-008	0	20241023_BRUV 1_L15_GX013109.MP4	2940	20241023_BRUV 1_R16_GX010066.MP4	2771	1.63497		-1.00000																	Sync		
SWC-BV-009	0	20241029_BRUV 9_L31_GX010090.MP4	1593	20241029_BRUV 9_R32_GX010071.MP4	1440	0.88589		-1.00000																	Sync		
SWC-BV-010	0	20241027_BRUV 3_L19_GX010072.MP4	2530	20241027_BRUV 3_R20_GX010088.MP4	2015	1.40696		-1.00000																	Sync		
SWC-BV-011	0	20241028_BRUV 3_L19_GX010075.MP4	1385	20241028_BRUV 3_R20_GX010091.MP4	1387	0.77021		-1.00000																	Sync		
SWC-BV-012	0	20241025_BRUV 3_L19_GX010064.MP4	2148	20241025_BRUV 3_R20_GX010080.MP4	1741	1.19453		-1.00000																	sync		
SWC-BV-013	0	20241026_BRUV 7_L27_GX010065.MP4	1613	20241026_BRUV 7_R28_GX010062.MP4	1385	0.89701		-1.00000																	Sync		
SWC-BV-014	0	20241027_BRUV 4_L21_GX010074.MP4	2018	20241027_BRUV 4_R22_GX010079.MP4	1967	1.12223		-1.00000																	Sync		
SWC-BV-015	0	20241027_BRUV 8_L29_GX010017.MP4	3290	20241027_BRUV 8_R30_GX010063.MP4	2998	1.82961		-1.00000																	sync		
SWC-BV-017	0	20241023_BRUV 1_L15_GX013108.MP4	4378	20241023_BRUV 1_R16_GX010065.MP4	3088	2.43465		-1.00000																	Sync		
SWC-BV-018	0	20241026_BRUV 4_L21_GX010072.MP4	2647	20241026_BRUV 4_R22_GX010077.MP4	2499	1.47203		-1.00000																	sync		
SWC-BV-019	0	20241028_BRUV 6_L95_GX010072.MP4	2439	20241028_BRUV 6_R96_GX010069.MP4	2294	1.35635		-1.00000																	sync		
SWC-BV-020	0	20241023_BRUV 9_L31_GX010073.MP4	6868	20241023_BRUV 9_R32_GX010054.MP4	6753	3.81937		-1.00000																	Sync		
SWC-BV-021	0	20241029_BRUV 9_L31_GX010089.MP4	1472	20241029_BRUV 9_R32_GX010070.MP4	1321	0.81860		-1.00000																	Sync		
SWC-BV-022	0	20241025_BRUV 10_L33_GX010072.MP4	1163	20241025_BRUV 10_R34_GX010069.MP4	962	0.64676		-1.00000																	sync		
SWC-BV-023	0	20241028_BRUV 4_L21_GX010080.MP4	1879	20241028_BRUV 4_R22_GX010085.MP4	1709	1.04493		-1.00000																	sync		
SWC-BV-024	0	20241023_BRUV 10_L33_GX010068.MP4	2008	20241023_BRUV 10_R34_GX010065.MP4	1793	1.11667		-1.00000																	Sync		
SWC-BV-025	0	20241029_BRUV 7_L27_GX010074.MP4	880	20241029_BRUV 7_R28_GX010071.MP4	699	0.48938		-1.00000																	Sync		
SWC-BV-026	0	20241027_BRUV 10_L33_GX010078.MP4	1452	20241027_BRUV 10_R34_GX010075.MP4	1312	0.80747		-1.00000																	Sync		
SWC-BV-027	0	20241028_BRUV 7_L27_GX010072.MP4	1401	20241028_BRUV 7_R28_GX010069.MP4	1226	0.77911		-1.00000																	Sync		
SWC-BV-028	0	20241025_BRUV 3_L19_GX010065.MP4	2579	20241025_BRUV 3_R20_GX010081.MP4	2365	1.43421		-1.00000																	sync		
SWC-BV-029	0	20241025_BRUV 5_L23_GX012815.MP4	961	20241025_BRUV 5_R24_GX010083.MP4	791	0.53442		-1.00000																	sync		
SWC-BV-030	0	20241027_BRUV 3_L19_GX010070.MP4	1728	20241027_BRUV 3_R20_GX010086.MP4	1740	0.96096		-1.00000																	Sync		
SWC-BV-031	0	20241027_BRUV 4_L21_GX010077.MP4	2912	20241027_BRUV 4_R22_GX010082.MP4	2470	1.61940		-1.00000																	sync		
SWC-BV-032	0	20241025_BRUV 5_L23_GX012813.MP4	10882	20241025_BRUV 5_R24_GX010081.MP4	10608	6.05160		-1.00000																	sync		
SWC-BV-033	0	20241024_BRUV 4_L21_GX010066.MP4	2817	20241024_BRUV 4_R22_GX010071.MP4	2504	1.56656		-1.00000																	Sync		
SWC-BV-034	0	20241026_BRUV 2_L17_GX010081.MP4	1405	20241026_BRUV 2_R18_GX010073.MP4	1366	0.78134		-1.00000																	sync		
SWC-BV-035	0	20241028_BRUV 9_L31_GX010088.MP4	1238	20241028_BRUV 9_R32_GX010069.MP4	1083	0.68847		-1.00000																	sync		
SWC-BV-037	0	20241029_BRUV 6_L95_GX010076.MP4	2560	20241029_BRUV 6_R96_GX010073.MP4	2400	1.42364		-1.00000																	Sync		
SWC-BV-038	0	20241027_BRUV 7_L27_GX010068.MP4	1980	20241027_BRUV 7_R28_GX010065.MP4	1830	1.10110		-1.00000																	Sync		
SWC-BV-039	0	20241028_BRUV 1_L15_GX013125.MP4	2304	20241028_BRUV 1_R16_GX010082.MP4	2090	1.28128		-1.00000																	Sync		
SWC-BV-040	0	20241023_BRUV 4_L21_GX010064.MP4	2266	20241023_BRUV 4_R22_GX010069.MP4	1934	1.26015		-1.00000																	Sync		
SWC-BV-041	0	20241026_BRUV 3_L19_GX010069.MP4	1430	20241026_BRUV 3_R20_GX010085.MP4	1186	0.79524		-1.00000																			
SWC-BV-042	0	20241027_BRUV 1_L15_GX013119.MP4	1881	20241027_BRUV 1_R16_GX010076.MP4	1712	1.04605		-1.00000																	Sync		
SWC-BV-043	0	20241028_BRUV 8_L29_GX010019.MP4	1087	20241028_BRUV 8_R30_GX010065.MP4	856	0.60449		-1.00000																	Sync		
SWC-BV-044	0	20241025_BRUV 5_L23_GX012814.MP4	6486	20241025_BRUV 5_R24_GX010082.MP4	6304	3.60694		-1.00000																	sync		
SWC-BV-045	0	20241025_BRUV 9_L31_GX010079.MP4	1319	20241025_BRUV 9_R32_GX010060.MP4	1483	0.73351		-1.00000																	sync		
SWC-BV-046	0	20241027_BRUV 4_L21_GX010075.MP4	1964	20241027_BRUV 4_R22_GX010080.MP4	1899	1.09220		-1.00000																	Sync		
SWC-BV-047	0	20241027_BRUV 4_L21_GX010076.MP4	1642	20241027_BRUV 4_R22_GX010081.MP4	1180	0.91313		-1.00000																	Sync		
SWC-BV-048	0	20241024_BRUV 5_L23_GX012812.MP4	1070	20241024_BRUV 5_R24_GX010080.MP4	725	0.59504		-1.00000																	Sync		
SWC-BV-049	0	20241024_BRUV 9_L31_GX010075.MP4	12492	20241024_BRUV 9_R32_GX010056.MP4	12351	6.94694		-1.00000																	Sync		
SWC-BV-050	0	20241025_BRUV 9_L31_GX010078.MP4	1701	20241025_BRUV 9_R32_GX010059.MP4	1564	0.94595		-1.00000																	sync		
SWC-BV-051	0	20241028_BRUV 7_L27_GX010071.MP4	2326	20241028_BRUV 7_R28_GX010068.MP4	2192	1.29351		-1.00000																	sync		
SWC-BV-052	0	20241023_BRUV 1_L15_GX013110.MP4	1134	20241023_BRUV 1_R16_GX010067.MP4	489	0.63063		-1.00000																	Sync		
SWC-BV-053	0	20241029_BRUV 7_L27_GX010075.MP4	986	20241029_BRUV 7_R28_GX010072.MP4	843	0.54833		-1.00000																	Sync		
SWC-BV-054	0	20241027_BRUV 1_L15_GX013120.MP4	1885	20241027_BRUV 1_R16_GX010077.MP4	1741	1.04827		-1.00000																	Sync		
SWC-BV-055	0	20241028_BRUV 1_L15_GX013124.MP4	1913	20241028_BRUV 1_R16_GX010081.MP4	1744	1.06384		-1.00000																	Sync		
SWC-BV-056	0	20241023_BRUV 9_L31_GX010074.MP4	3207	20241023_BRUV 9_R32_GX010055.MP4	3064	1.78345		-1.00000																	Sync		
SWC-BV-057	0	20241026_BRUV 4_L21_GX010071.MP4	2476	20241026_BRUV 4_R22_GX010076.MP4	2247	1.37693		-1.00000																	Sync		
SWC-BV-058	0	20241027_BRUV 2_L17_GX010086.MP4	2066	20241027_BRUV 2_R18_GX010078.MP4	1817	1.14893		-1.00000	25.12190	-29.86313	-1063.87260	0.66685	0.65616	2.88877	1.99967	1064.58810	2.06675								sync		
SWC-BV-059	0	20241026_BRUV 10_L33_GX010074.MP4	1992	20241026_BRUV 10_R34_GX010071.MP4	1859	1.10777		-1.00000																	Sync		
SWC-BV-060	0	20241025_BRUV 6_L95_GX010063.MP4	1914	20241025_BRUV 6_R96_GX010060.MP4	1464	1.06440		-1.00000																	sync		
SWC-BV-061	0	20241026_BRUV 10_L33_GX010075.MP4	1029	20241026_BRUV 10_R34_GX010072.MP4	614	0.57224		-1.00000																	sync		
SWC-BV-062	0	20241027_BRUV 10_L33_GX010077.MP4	2414	20241027_BRUV 10_R34_GX010074.MP4	2277	1.34245		-1.00000																	Sync		
SWC-BV-063	0	20241028_BRUV 2_L17_GX010087.MP4	1714	20241028_BRUV 2_R18_GX010079.MP4	1547	0.95317		-1.00000																	Sync		
SWC-BV-064	0	20241024_BRUV 8_L29_GX010008.MP4	2854	20241024_BRUV 8_R30_GX010054.MP4	2672	1.58714		-1.00000																	Sync		
SWC-BV-065	0	20241029_BRUV 8_L29_GX010021.MP4	280	20241029_BRUV 8_R30_GX010067.MP4	87	0.15571		-1.00000																	Sync		
SWC-BV-066	0	20241027_BRUV 2_L17_GX010084.MP4	1433	20241027_BRUV 2_R18_GX010076.MP4	1310	0.79691		-1.00000																	Sync		
SWC-BV-067	0	20241028_BRUV 4_L21_GX010079.MP4	1642	20241028_BRUV 4_R22_GX010084.MP4	1601	0.91313		-1.00000																	Sync		
SWC-BV-068	0	20241023_BRUV 3_L19_GX010061.MP4	1956	20241023_BRUV 3_R20_GX010077.MP4	1804	1.08775		-1.00000																	Sync		
