OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
SWC-BV-001	0	0	1230.97587	433.20896	856.24344	421.11940
SWC-BV-002	0	0	1541.23820	594.40299	453.30535	596.41791
SWC-BV-003	0	0	1144.34418	542.01493	817.96432	568.20896
SWC-BV-004	0	0	1095.99161	473.50746	763.56768	471.49254
SWC-BV-005	0	0	1156.43232	540.00000	856.24344	542.01493
SWC-BV-006	0	0	1158.44701	560.14925	813.93494	564.17910
SWC-BV-007	0	0	1239.03463	574.25373	771.62644	596.41791
SWC-BV-008	0	0	1102.03568	445.29851	751.47954	457.38806
SWC-BV-009	0	0	1188.66737	554.10448	805.87618	554.10448
SWC-BV-010	0	0	1148.37356	447.31343	745.43547	445.29851
SWC-BV-011	0	0	1176.57922	552.08955	801.84680	552.08955
SWC-BV-012	0	0	1194.71144	556.11940	763.56768	558.13433
SWC-BV-013	0	0	1102.03568	544.02985	864.30220	576.26866
SWC-BV-014	0	0	1136.28541	572.23881	789.75866	580.29851
SWC-BV-015	0	0	1150.38825	519.85075	819.97901	550.07463
SWC-BV-017	0	0	1057.71249	570.22388	699.09759	566.19403
SWC-BV-018	0	0	1069.80063	622.61194	866.31689	618.58209
SWC-BV-019	0	0	1196.72613	550.07463	777.67051	523.88060
SWC-BV-020	0	0	1075.84470	461.41791	761.55299	453.35821
SWC-BV-021	0	0	1192.69675	556.11940	775.65582	548.05970
SWC-BV-022	0	0	1158.44701	556.11940	803.86149	558.13433
SWC-BV-023	0	0	1138.30010	578.28358	828.03778	582.31343
SWC-BV-024	0	0	1108.07975	445.29851	705.14166	459.40299
SWC-BV-025	0	0	1156.43232	620.59701	894.52256	654.85075
SWC-BV-026	0	0	1156.43232	544.02985	789.75866	562.16418
SWC-BV-027	0	0	1182.62329	544.02985	852.21406	576.26866
SWC-BV-028	0	0	1168.52046	560.14925	805.87618	562.16418
SWC-BV-029	0	0	1095.99161	523.88060	971.08080	558.13433
SWC-BV-030	0	0	1196.72613	554.10448	793.78804	550.07463
SWC-BV-031	0	0	1128.22665	586.34328	815.94963	582.31343
SWC-BV-032	0	0	1460.65058	533.95522	483.52571	594.40299
SWC-BV-033	0	0	979.13956	658.88060	896.53725	666.94030
SWC-BV-034	0	0	1180.60860	568.20896	791.77335	562.16418
SWC-BV-035	0	0	1178.59391	552.08955	809.90556	554.10448
SWC-BV-037	0	0	1164.70724	546.81343	807.68520	522.35821
SWC-BV-038	0	0	1138.30010	556.11940	894.52256	568.20896
SWC-BV-039	0	0	1192.69675	562.16418	777.67051	560.14925
SWC-BV-040	0	0	1031.52151	473.50746	832.06716	475.52239
SWC-BV-041	0	0	1247.09339	566.19403	701.11228	562.16418
SWC-BV-042	0	0	1108.07975	558.13433	799.83211	566.19403
SWC-BV-043	0	0	1196.72613	519.85075	789.75866	560.14925
SWC-BV-044	0	0	1408.26863	535.97015	566.12802	584.32836
SWC-BV-045	0	0	1160.46170	554.10448	854.22875	552.08955
SWC-BV-046	0	0	1051.66842	568.20896	848.18468	576.26866
SWC-BV-047	0	0	1061.74187	570.22388	848.18468	566.19403
SWC-BV-048	0	0	1243.06401	489.62687	817.96432	523.88060
SWC-BV-049	0	0	1182.62329	485.59701	856.24344	481.56716
SWC-BV-050	0	0	1142.32949	558.13433	828.03778	552.08955
SWC-BV-051	0	0	1196.72613	550.07463	834.08185	590.37313
SWC-BV-052	0	0	1204.78489	556.11940	763.56768	564.17910
SWC-BV-053	0	0	1230.97587	566.19403	828.03778	602.46269
SWC-BV-054	0	0	1168.52046	570.22388	864.30220	564.17910
SWC-BV-055	0	0	1204.78489	568.20896	769.61175	570.22388
SWC-BV-056	0	0	1265.22560	405.00000	636.64218	390.89552
SWC-BV-057	0	0	1077.85939	596.41791	882.43442	596.41791
SWC-BV-058	0	0	1134.27072	566.19403	805.87618	570.22388
SWC-BV-059	0	0	1134.27072	529.92537	793.78804	552.08955
SWC-BV-060	0	0	1222.91710	584.32836	731.33263	542.01493
SWC-BV-061	0	0	1160.46170	546.04478	811.92025	556.11940
SWC-BV-062	0	0	1172.54984	550.07463	797.81742	568.20896
SWC-BV-063	0	0	1188.66737	566.19403	791.77335	566.19403
SWC-BV-064	0	0	674.92130	515.82090	640.67156	521.86567
SWC-BV-065	0	0	1132.25603	546.04478	795.80273	574.25373
SWC-BV-066	0	0	1190.68206	562.16418	791.77335	562.16418
SWC-BV-067	0	0	1118.15320	578.28358	795.80273	588.35821
SWC-BV-068	0	0	1091.96222	562.16418	787.74397	562.16418
SWC-BV-069	0	0	1104.05037	495.67164	781.69990	517.83582
SWC-BV-070	0	0	1208.81427	554.10448	785.72928	562.16418
SWC-BV-071	0	0	1142.32949	535.97015	824.00839	566.19403
SWC-BV-072	0	0	1186.65268	550.07463	824.00839	548.05970
SWC-BV-073	0	0	1140.31480	443.28358	785.72928	437.23881
SWC-BV-073	1	0	1343.79853	896.64179	689.02413	910.74627
SWC-BV-074	0	0	1162.47639	517.83582	813.93494	552.08955
SWC-BV-075	0	0	1168.52046	548.05970	826.02308	560.14925
SWC-BV-076	0	0	813.93494	558.13433	1152.40294	548.05970
SWC-BV-077	0	0	1239.03463	550.07463	757.52361	542.01493
SWC-BV-078	0	0	1136.28541	529.92537	821.99370	564.17910
SWC-BV-079	0	0	1186.65268	556.11940	785.72928	525.89552
SWC-BV-080	0	0	1049.65373	560.14925	844.15530	560.14925
SWC-BV-081	0	0	1146.35887	548.05970	807.89087	521.86567
SWC-BV-082	0	0	1140.31480	537.98507	811.92025	570.22388
SWC-BV-083	0	0	1178.59391	550.07463	787.74397	554.10448
SWC-BV-084	0	0	1353.87198	546.04478	614.48059	580.29851
SWC-BV-085	0	0	1186.65268	566.19403	795.80273	560.14925
SWC-BV-086	0	0	1126.21196	574.25373	906.61070	602.46269
SWC-BV-087	0	0	1386.10703	566.19403	602.39244	576.26866
SWC-BV-088	0	0	1132.25603	560.14925	821.99370	546.04478
SWC-BV-089	0	0	1077.85939	562.16418	817.96432	570.22388
SWC-BV-090	0	0	1168.52046	550.07463	880.41973	580.29851
SWC-BV-091	0	0	1190.68206	556.11940	781.69990	568.20896
SWC-BV-092	0	0	1198.74082	443.28358	811.92025	439.25373
SWC-BV-094	0	0	1142.32949	564.17910	817.96432	566.19403
SWC-BV-095	0	0	1174.56453	550.07463	817.96432	552.08955
SWC-BV-096	0	0	1496.91501	352.61194	433.15845	415.07463
SWC-BV-097	0	0	1232.99056	413.05970	868.33158	449.32836
SWC-BV-099	0	0	1241.04932	533.95522	753.49423	568.20896
SWC-BV-100	0	0	1249.10808	675.00000	584.26023	672.98507
SWC-BV-101	0	0	1182.62329	544.02985	781.69990	562.16418
SWC-BV-102	0	0	1083.90346	443.28358	765.58237	447.31343
SWC-BV-103	0	0	1188.25184	532.06716	797.07555	565.98507
SWC-BV-104	0	0	1158.44701	384.85075	654.77440	419.10448
SWC-BV-105	0	0	1118.15320	548.05970	824.00839	540.00000
SWC-BV-106	0	0	1136.28541	566.19403	809.90556	540.00000
SWC-BV-107	0	0	1104.05037	523.88060	840.12592	525.89552
SWC-BV-108	0	0	1464.67996	584.32836	493.59916	588.35821
SWC-BV-110	0	0	1130.24134	546.04478	824.00839	531.94030
SWC-BV-111	0	0	1142.32949	550.07463	821.99370	529.92537
SWC-BV-112	0	0	1055.69780	467.46269	815.94963	485.59701
SWC-BV-113	0	0	1154.41763	546.04478	799.83211	548.05970
SWC-BV-114	0	0	1216.87303	556.11940	719.24449	560.14925
SWC-BV-115	0	0	1164.49108	546.04478	797.81742	527.91045
SWC-BV-116	0	0	1098.00630	409.02985	715.21511	445.29851
SWC-BV-117	0	0	1029.50682	562.16418	874.37566	568.20896
SWC-BV-118	0	0	1210.82896	566.19403	775.65582	576.26866
SWC-BV-119	0	0	1267.24029	544.02985	678.95068	515.82090
SWC-BV-120	0	0	1039.58027	556.11940	894.52256	560.14925
SWC-BV-121	0	0	1164.49108	507.76119	950.93389	505.74627
SWC-BV-122	0	0	1275.29906	552.08955	684.99475	550.07463
SWC-BV-123	0	0	1218.88772	441.26866	787.74397	433.20896
SWC-BV-124	0	0	1047.63903	451.34328	713.20042	479.55224
SWC-BV-125	0	0	1196.72613	564.17910	787.74397	562.16418
SWC-BV-126	0	0	1152.40294	554.10448	828.03778	529.92537
SWC-BV-127	0	0	1158.44701	544.02985	830.05247	550.07463
SWC-BV-128	0	0	1075.84470	360.67164	826.02308	378.80597
SWC-BV-130	0	0	1146.35887	542.01493	785.72928	574.25373
SWC-BV-131	0	0	1287.38720	529.92537	691.03882	580.29851
SWC-BV-132	0	0	1013.38930	562.16418	775.65582	562.16418
SWC-BV-133	0	0	1182.62329	515.82090	703.12697	558.13433
