OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
SWC-BV-001	Ryan																		
SWC-BV-002	Annika																		
SWC-BV-003	Bri																		
SWC-BV-004	Ryan																		
SWC-BV-005	Zach																		
SWC-BV-006	Annika																		
SWC-BV-007	Annika																		
SWC-BV-008	Ryan																		
SWC-BV-009	Bri																		
SWC-BV-010	Ryan																		
SWC-BV-011	Bri																		
SWC-BV-012	Annika																		
SWC-BV-013	Zach																		
SWC-BV-014	Bri																		
SWC-BV-015	Annika																		
SWC-BV-016	Annika																		
SWC-BV-017	Ryan																		
SWC-BV-018	Annika																		
SWC-BV-019	Annika																		
SWC-BV-020	Ryan																		
SWC-BV-021	Bri																		
SWC-BV-022	Annika																		
SWC-BV-023	Annika																		
SWC-BV-024	Ryan																		
SWC-BV-025	Bri																		
SWC-BV-026	Bri																		
SWC-BV-027	Bri																		
SWC-BV-028	Annika																		
SWC-BV-029	Annika																		
SWC-BV-030	Bri																		
SWC-BV-031	Daniel Agnello	43.9																	
SWC-BV-032	Annika																		
SWC-BV-033	Ryan																		
SWC-BV-034	Annika																		
SWC-BV-035	Daniel Agnello	32.1																	
SWC-BV-036	Ryan																		
SWC-BV-037	Bri																		
SWC-BV-038	Bri																		
SWC-BV-039	Bri																		
SWC-BV-040	Ryan																		
SWC-BV-041	Annika																		
SWC-BV-042	Bri																		
SWC-BV-043	Bri																		
SWC-BV-044	Annika																		
SWC-BV-045	Annika																		
SWC-BV-046	Bri																		
SWC-BV-047	Bri																		
SWC-BV-048	Ryan																		
SWC-BV-049	Ryan																		
SWC-BV-050	Annika																		
SWC-BV-051	Annika																		
SWC-BV-052	Ryan																		
SWC-BV-053	Bri																		
SWC-BV-054	Bri																		
SWC-BV-055	Bri																		
SWC-BV-056	Ryan																		
SWC-BV-057	Zach																		
SWC-BV-058	Daniel Agnello	50.9																	
SWC-BV-059	Zach																		
SWC-BV-060	Annika																		
SWC-BV-061	Annika																		
SWC-BV-062	Bri																		
SWC-BV-063	Bri																		
SWC-BV-064	Ryan																		
SWC-BV-065	Bri																		
SWC-BV-066	Bri																		
SWC-BV-067	Bri																		
SWC-BV-068	Ryan																		
SWC-BV-069	Zach																		
SWC-BV-070	Bri																		
SWC-BV-071	Annika																		
SWC-BV-072	Annika																		
SWC-BV-073	Ryan																		
SWC-BV-074	Annika																		
SWC-BV-075	Bri																		
SWC-BV-076	Ryan																		
SWC-BV-077	Annika																		
SWC-BV-078	Bri																		
SWC-BV-079	Bri																		
SWC-BV-080	Annika																		
SWC-BV-081	Annika																		
SWC-BV-082	Bri																		
SWC-BV-083	Daniel Agnello	43.8																	
SWC-BV-084	Annika																		
SWC-BV-085	Bri																		
SWC-BV-086	Annika																		
SWC-BV-087	Bri																		
SWC-BV-088	Ryan																		
SWC-BV-089	Bri																		
SWC-BV-090	Bri																		
SWC-BV-091	Daniel Agnello	37																	
SWC-BV-092	Ryan																		
SWC-BV-094	Bri																		
SWC-BV-095	Bri																		
SWC-BV-096	Ryan																		
SWC-BV-097	Ryan																		
SWC-BV-099	Annika																		
SWC-BV-100	Ryan																		
SWC-BV-101	Bri																		
SWC-BV-102	Ryan																		
SWC-BV-103	Bri																		
SWC-BV-104	Ryan																		
SWC-BV-105	Zach																		
SWC-BV-106	Bri																		
SWC-BV-107	Zach																		
SWC-BV-108	Annika																		
SWC-BV-110	Annika																		
SWC-BV-111	Bri																		
SWC-BV-112	Ryan																		
SWC-BV-113	Bri																		
SWC-BV-114	Annika																		
SWC-BV-115	Annika																		
SWC-BV-116	Ryan																		
SWC-BV-117	Annika																		
SWC-BV-118	Bri																		
SWC-BV-119	Zach																		
SWC-BV-120	Zach																		
SWC-BV-121	Ryan																		
SWC-BV-122	Annika																		
SWC-BV-123	Ryan																		
SWC-BV-124	Ryan																		
SWC-BV-125	Bri																		
SWC-BV-126	Bri																		
SWC-BV-127	Bri																		
SWC-BV-128	Ryan																		
SWC-BV-130	Annika																		
SWC-BV-131	Annika																		
SWC-BV-132	Ryan																		
SWC-BV-133	Bri																		
SWC-BV-134	Bri																		
SWC-BV-135	Bri																		
SWC-BV-136	Ryan																		
SWC-BV-137	Annika																		
SWC-BV-138	Daniel Agnello	54.6																	
SWC-BV-139	Zach																		
SWC-BV-140	Annika																		
SWC-BV-141	Bri																		
SWC-BV-142	Ryan																		
SWC-BV-143	Bri																		
SWC-BV-144	Ryan																		
SWC-BV-145	Zach																		
SWC-BV-146	Bri																		
SWC-BV-147	Daniel Agnello	44																	
SWC-BV-148	Annika																		
SWC-BV-149	Annika																		
SWC-BV-150	Bri																		
SWC-BV-151	Annika																		
SWC-BV-152	Ryan																		
SWC-BV-153	Bri																		
SWC-BV-154	Annika																		
SWC-BV-155	Daniel Agnello	44.5																	
SWC-BV-156	Ryan																		
SWC-BV-157	Bri																		
SWC-BV-158	Bri																		
SWC-BV-159	Bri																		
SWC-BV-160	Annika																		
SWC-BV-161	Zach																		
SWC-BV-162	Bri																		
SWC-BV-163	Bri																		
SWC-BV-164	Annika																		
SWC-BV-165	Annika																		
SWC-BV-166	Bri																		
SWC-BV-167	Zach																		
SWC-BV-168	Ryan																		
SWC-BV-169	Annika																		
SWC-BV-170	Bri																		
SWC-BV-171	Bri																		
SWC-BV-172	Annika																		
SWC-BV-173	Ryan																		
SWC-BV-174	Annika																		
SWC-BV-176	Ryan																		
SWC-BV-177	Annika																		
SWC-BV-178	Bri																		
SWC-BV-179	Annika																		
SWC-BV-180	Ryan																		
SWC-BV-AP001	Bri																		
SWC-BV-AP002	Bri																		
SWC-BV-IO338	Ryan																		
SWC-BV-IO353	Ryan																		
SWC-BV-IO354	Ryan																		
SWC-BV-IO355	Ryan																		
SWC-BV-IO356	Bri																		
SWC-BV-IO357	Daniel Agnello	45.9																	
SWC-BV-IOC05	Ryan																		
SWC-BV-IOC06	Ryan																		
SWC_BV_109	Ryan																		
