opcode,system_number,latitude_dd,longitude_dd,date_time,site,location,status,zone,jurisdiction,depth_m,observer_count,observer_length,successful_count,successful_length,FishNClips,video_notes,left_camera,right_camera,rear_camera,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forwards,successful_habitat_backwards,observer_habitat_forwards,observer_habitat_backwards,maxn_complete_date,maxn_checker,length_complete_date,comment,ip
SWC-BV-017,1,-33.95944142,114.9055773,2024-10-23T07:53:26+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,48,Daniel Agnello,,Yes,,Yes,,15,16,89,Yes,,,,,,10/1/2025,,,,0.00000009355631566
SWC-BV-073,2,-33.98284833,114.875235,2024-10-23T08:07:04+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,40.2,Daniel Agnello,,Yes,,Yes,"ID help letherjacket. After period ends bigschools of snapper, sambos and kingfish",17,18,90,Yes,,,,,,10/1/2024,,,,0.00000009355631566
SWC-BV-004,3,-33.99687,114.85819,2024-10-23T08:16:09+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,43.7,Daniel Agnello,,Yes,,Yes,,19,20,91,Yes,,,,,,17/01/2025,,,2 ID's to check,0.00000009355631566
SWC-BV-132,4,-34.00576,114.8179467,2024-10-23T08:29:57+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.6,Daniel Agnello,,Yes,,Yes,Baitbag gone on retrieval,21,22,92,Yes,,,,,,17/01/2025,,,,0.000002954282623
SWC-BV-036,5,-34.00564167,114.811545,2024-10-23T08:34:25+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,49.9,,,,No,Yes,Left camera stopped recording before drop,23,24,93,Yes,,,,,,,,,MaxN with right camera file,0.0000006540014967
SWC-BV-088,6,-33.99623667,114.8185317,2024-10-23T08:40:15+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,45.5,Daniel Agnello,,Yes,,Yes,,95,96,94,Yes,,,,,,24/01/2025,,,,0.000002954282623
SWC-BV-112,7,-33.982125,114.8287233,2024-10-23T08:48:19+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,44.1,Daniel Agnello,,Yes,,Yes,,27,28,97,Yes,,,,,,24/01/2025,,,2 ID's to check,0.00000009355631566
SWC-BV-124,8,-33.981775,114.8088833,2024-10-23T08:56:43+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,49,Daniel Agnello,,Yes,,Yes,,29,30,98,Yes,,,,,,24/01/2025,,,,0.000002954282623
SWC-BV-020,9,-33.96738667,114.8125133,2024-10-23T09:03:32+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.2,Daniel Agnello,,Yes,,Yes,,31,32,99,Yes,,,,,,28/01/2025,,,hammerhead,0.00000009355631566
SWC-BV-076,10,-33.9628,114.822585,2024-10-23T09:08:07+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,45.4,Daniel Agnello,,Yes,,Yes,"Rope in view of left cam, habitat and fishnclipz taken from right cam",33,34,00,Yes,,,,,,14/02/2025,,annotated right cam. measurements are still possible using left,,0.00000009355631566
