OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
SWC-BV-001	0	0	0.00000	0	20241024_BRUV 3_L19_GX010062.MP4	145920	29.97003
SWC-BV-001	0	0	0.00000	0	20241024_BRUV 3_L19_GX020062.MP4	75973	29.97003
SWC-BV-001	1	0	0.00000	0	20241024_BRUV 3_R20_GX010078.MP4	145920	29.97003
SWC-BV-001	1	0	0.00000	0	20241024_BRUV 3_R20_GX020078.MP4	75704	29.97003
SWC-BV-002	0	0	0.00000	0	20241025_BRUV 10_L33_GX010073.MP4	131996	29.97003
SWC-BV-002	1	0	0.00000	0	20241025_BRUV 10_R34_GX010070.MP4	131624	29.97003
SWC-BV-003	0	0	0.00000	0	20241027_BRUV 8_L29_GX010016.MP4	135214	29.97003
SWC-BV-003	1	0	0.00000	0	20241027_BRUV 8_R30_GX010062.MP4	135574	29.97003
SWC-BV-004	0	0	0.00000	0	20241023_BRUV 3_L19_GX010059.MP4	71040	29.97003
SWC-BV-004	0	0	0.00000	0	20241023_BRUV 3_L19_GX020059.MP4	71040	29.97003
SWC-BV-004	0	0	0.00000	0	20241023_BRUV 3_L19_GX030059.MP4	67494	29.97003
SWC-BV-004	1	0	0.00000	0	20241023_BRUV 3_R20_GX010075.MP4	71040	29.97003
SWC-BV-004	1	0	0.00000	0	20241023_BRUV 3_R20_GX020075.MP4	71040	29.97003
SWC-BV-004	1	0	0.00000	0	20241023_BRUV 3_R20_GX030075.MP4	66914	29.97003
SWC-BV-005	0	0	0.00000	0	20241026_BRUV 1_L15_GX013116.MP4	145920	29.97003
SWC-BV-005	1	0	0.00000	0	20241026_BRUV 1_R16_GX010073.MP4	145920	29.97003
SWC-BV-006	0	0	0.00000	0	20241025_BRUV 2_L17_GX010071.MP4	137853	29.97003
SWC-BV-006	1	0	0.00000	0	20241025_BRUV 2_R18_GX010071.MP4	137344	29.97003
SWC-BV-007	0	0	0.00000	0	20241028_BRUV 7_L27_GX010073.MP4	127504	29.97003
SWC-BV-007	1	0	0.00000	0	20241028_BRUV 7_R28_GX010070.MP4	127094	29.97003
SWC-BV-008	0	0	0.00000	0	20241023_BRUV 1_L15_GX013109.MP4	84480	29.97003
SWC-BV-008	0	0	0.00000	0	20241023_BRUV 1_L15_GX023109.MP4	41384	29.97003
SWC-BV-008	1	0	0.00000	0	20241023_BRUV 1_R16_GX010066.MP4	86400	29.97003
SWC-BV-008	1	0	0.00000	0	20241023_BRUV 1_R16_GX020066.MP4	39124	29.97003
SWC-BV-009	0	0	0.00000	0	20241029_BRUV 9_L31_GX010090.MP4	144294	29.97003
SWC-BV-009	1	0	0.00000	0	20241029_BRUV 9_R32_GX010071.MP4	143894	29.97003
SWC-BV-010	0	0	0.00000	0	20241027_BRUV 3_L19_GX010072.MP4	145920	29.97003
SWC-BV-010	0	0	0.00000	0	20241027_BRUV 3_L19_GX020072.MP4	56134	29.97003
SWC-BV-010	1	0	0.00000	0	20241027_BRUV 3_R20_GX010088.MP4	145920	29.97003
SWC-BV-010	1	0	0.00000	0	20241027_BRUV 3_R20_GX020088.MP4	55514	29.97003
SWC-BV-011	0	0	0.00000	0	20241028_BRUV 3_L19_GX010075.MP4	128904	29.97003
SWC-BV-011	1	0	0.00000	0	20241028_BRUV 3_R20_GX010091.MP4	128604	29.97003
SWC-BV-012	0	0	0.00000	0	20241025_BRUV 3_L19_GX010064.MP4	145920	29.97003
SWC-BV-012	0	0	0.00000	0	20241025_BRUV 3_L19_GX020064.MP4	50694	29.97003
SWC-BV-012	1	0	0.00000	0	20241025_BRUV 3_R20_GX010080.MP4	145920	29.97003
SWC-BV-012	1	0	0.00000	0	20241025_BRUV 3_R20_GX020080.MP4	50154	29.97003
SWC-BV-013	0	0	0.00000	0	20241026_BRUV 7_L27_GX010065.MP4	145920	29.97003
SWC-BV-013	1	0	0.00000	0	20241026_BRUV 7_R28_GX010062.MP4	145920	29.97003
