OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
SWC-BV-001	0	1	20241024_BRUV 3_L19_GX010062.MP4	12838	7.13935	20241024_BRUV 3_L19_GX010062.MP4	120730	67.13929	1
SWC-BV-002	0	1	20241025_BRUV 10_L33_GX010073.MP4	10838	6.02713	20241025_BRUV 10_L33_GX010073.MP4	118730	66.02707	1
SWC-BV-003	0	1	20241027_BRUV 8_L29_GX010016.MP4	7873	4.37826	20241027_BRUV 8_L29_GX010016.MP4	115765	64.37820	1
SWC-BV-004	0	1	20241023_BRUV 3_L19_GX010059.MP4	16240	9.03124	20241023_BRUV 3_L19_GX020059.MP4	53092	69.03118	1
SWC-BV-005	0	1	20241026_BRUV 1_L15_GX013116.MP4	13215	7.34901	20241026_BRUV 1_L15_GX013116.MP4	121107	67.34895	1
SWC-BV-006	0	1	20241025_BRUV 2_L17_GX010071.MP4	21729	12.08374	20241025_BRUV 2_L17_GX010071.MP4	129621	72.08368	1
SWC-BV-007	0	1	20241028_BRUV 7_L27_GX010073.MP4	6996	3.89055	20241028_BRUV 7_L27_GX010073.MP4	114888	63.89049	1
SWC-BV-008	0	1	20241023_BRUV 1_L15_GX013109.MP4	6071	3.37615	20241023_BRUV 1_L15_GX023109.MP4	29483	63.37609	1
SWC-BV-009	0	1	20241029_BRUV 9_L31_GX010090.MP4	8652	4.81147	20241029_BRUV 9_L31_GX010090.MP4	116544	64.81141	1
SWC-BV-010	0	1	20241027_BRUV 3_L19_GX010072.MP4	11594	6.44755	20241027_BRUV 3_L19_GX010072.MP4	119486	66.44749	1
SWC-BV-011	0	1	20241028_BRUV 3_L19_GX010075.MP4	7634	4.24535	20241028_BRUV 3_L19_GX010075.MP4	115526	64.24529	1
SWC-BV-012	0	1	20241025_BRUV 3_L19_GX010064.MP4	27333	15.20019	20241025_BRUV 3_L19_GX010064.MP4	135225	75.20012	1
SWC-BV-013	0	1	20241026_BRUV 7_L27_GX010065.MP4	7722	4.29429	20241026_BRUV 7_L27_GX010065.MP4	115614	64.29423	1
SWC-BV-014	0	1	20241027_BRUV 4_L21_GX010074.MP4	14826	8.24490	20241027_BRUV 4_L21_GX010074.MP4	122718	68.24484	1
SWC-BV-015	0	1	20241027_BRUV 8_L29_GX010017.MP4	11993	6.66944	20241027_BRUV 8_L29_GX010017.MP4	119885	66.66938	1
SWC-BV-016	0	1	20241025_BRUV 7_L27_GX010062.MP4	9816	5.45879	20241025_BRUV 7_L27_GX010062.MP4	117708	65.45873	1
SWC-BV-017	0	1	20241023_BRUV 1_L15_GX013108.MP4	8030	4.46557	20241023_BRUV 1_L15_GX023108.MP4	44882	64.46551	1
SWC-BV-018	0	1	20241026_BRUV 4_L21_GX010072.MP4	17955	9.98498	20241026_BRUV 4_L21_GX010072.MP4	125847	69.98492	1
SWC-BV-019	0	1	20241028_BRUV 6_L95_GX010072.MP4	25040	13.92502	20241028_BRUV 6_L95_GX010072.MP4	132932	73.92496	1
SWC-BV-020	0	1	20241023_BRUV 9_L31_GX010073.MP4	12749	7.08986	20241023_BRUV 9_L31_GX020073.MP4	49601	67.08980	1
SWC-BV-021	0	1	20241029_BRUV 9_L31_GX010089.MP4	21560	11.98976	20241029_BRUV 9_L31_GX010089.MP4	129452	71.98970	1
SWC-BV-022	0	1	20241025_BRUV 10_L33_GX010072.MP4	22872	12.71937	20241025_BRUV 10_L33_GX010072.MP4	130764	72.71931	1
SWC-BV-023	0	1	20241028_BRUV 4_L21_GX010080.MP4	9814	5.45767	20241028_BRUV 4_L21_GX010080.MP4	117706	65.45761	1
SWC-BV-024	0	1	20241023_BRUV 10_L33_GX010068.MP4	15502	8.62083	20241023_BRUV 10_L33_GX020068.MP4	52354	68.62077	1
SWC-BV-025	0	1	20241029_BRUV 7_L27_GX010074.MP4	8362	4.65020	20241029_BRUV 7_L27_GX010074.MP4	116254	64.65014	1
SWC-BV-026	0	1	20241027_BRUV 10_L33_GX010078.MP4	11274	6.26960	20241027_BRUV 10_L33_GX010078.MP4	119166	66.26954	1
SWC-BV-027	0	1	20241028_BRUV 7_L27_GX010072.MP4	8273	4.60071	20241028_BRUV 7_L27_GX010072.MP4	116165	64.60065	1
SWC-BV-028	0	1	20241025_BRUV 3_L19_GX010065.MP4	8816	4.90268	20241025_BRUV 3_L19_GX010065.MP4	116708	64.90262	1
SWC-BV-029	0	1	20241025_BRUV 5_L23_GX012815.MP4	8527	4.74196	20241025_BRUV 5_L23_GX012815.MP4	116419	64.74190	1
SWC-BV-030	0	1	20241027_BRUV 3_L19_GX010070.MP4	5506	3.06195	20241027_BRUV 3_L19_GX010070.MP4	113398	63.06189	1
SWC-BV-031	0	1	20241027_BRUV 4_L21_GX010077.MP4	5739	3.19152	20241027_BRUV 4_L21_GX010077.MP4	113631	63.19146	1
SWC-BV-032	0	1	20241025_BRUV 5_L23_GX012813.MP4	15642	8.69869	20241025_BRUV 5_L23_GX012813.MP4	123534	68.69863	1
SWC-BV-033	0	1	20241024_BRUV 4_L21_GX010066.MP4	13563	7.54253	20241024_BRUV 4_L21_GX010066.MP4	121455	67.54247	1
SWC-BV-034	0	1	20241026_BRUV 2_L17_GX010081.MP4	18927	10.52552	20241026_BRUV 2_L17_GX010081.MP4	126819	70.52545	1
SWC-BV-035	0	1	20241028_BRUV 9_L31_GX010088.MP4	8639	4.80424	20241028_BRUV 9_L31_GX010088.MP4	116531	64.80418	1
SWC-BV-036	0	1	20241023_BRUV 5_R24_GX010076.MP4	7583	4.21699	20241023_BRUV 5_R24_GX020076.MP4	44435	64.21693	1
SWC-BV-037	0	1	20241029_BRUV 6_L95_GX010076.MP4	8625	4.79646	20241029_BRUV 6_L95_GX010076.MP4	116517	64.79640	1
SWC-BV-038	0	1	20241027_BRUV 7_L27_GX010068.MP4	11709	6.51150	20241027_BRUV 7_L27_GX010068.MP4	119601	66.51145	1
SWC-BV-039	0	1	20241028_BRUV 1_L15_GX013125.MP4	7220	4.01512	20241028_BRUV 1_L15_GX013125.MP4	115112	64.01506	1
SWC-BV-040	0	1	20241023_BRUV 4_L21_GX010064.MP4	7324	4.07296	20241023_BRUV 4_L21_GX020064.MP4	44176	64.07290	1
