OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
SWC-BV-001	1.09	2025 03 07 10:57:50	D:\20241024\	SWC-BV-001.EMObs
SWC-BV-002	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 10\	SWC-BV-002.EMObs
SWC-BV-003	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 8\	SWC-BV-003.EMObs
SWC-BV-004	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-004.EMObs
SWC-BV-005	1.09	2025 03 07 10:57:50	D:\20241026\	SWC-BV-005.EMObs
SWC-BV-006	1.09	2025 03 07 10:57:50	E:\20241025\BRUV 2\	SWC-BV-006.EMObs
SWC-BV-007	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 7\	SWC-BV-007.EMObs
SWC-BV-008	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-008.EMObs
SWC-BV-009	1.09	2025 03 07 10:57:50	E:\20241029\BRUV 9\	SWC-BV-009.EMObs
SWC-BV-010	1.09	2025 03 07 10:57:50	M:\20241027\	SWC-BV-010.EMObs
SWC-BV-011	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 3\	SWC-BV-011.EMObs
SWC-BV-012	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 3\	SWC-BV-012.EMObs
SWC-BV-013	1.09	2025 03 07 10:57:50	D:\20241026\	SWC-BV-013.EMObs
SWC-BV-014	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 4\	SWC-BV-014.EMObs
SWC-BV-015	1.09	2025 03 07 10:57:50	D:\20241027\BRUV 8\	SWC-BV-015.EMObs
SWC-BV-016	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 7\	SWC-BV-016.EMObs
SWC-BV-017	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-017.EMObs
SWC-BV-018	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 4\	SWC-BV-018.EMObs
SWC-BV-019	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 6\	SWC-BV-019.EMObs
SWC-BV-020	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-020.EMObs
SWC-BV-021	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 9\	SWC-BV-021.EMObs
SWC-BV-022	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 10\	SWC-BV-022.EMObs
SWC-BV-023	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 4\	SWC-BV-023.EMObs
SWC-BV-024	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-024.EMObs
SWC-BV-025	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 7\	SWC-BV-025.EMObs
SWC-BV-026	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 10\	SWC-BV-026.EMObs
SWC-BV-027	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 7\	SWC-BV-027.EMObs
SWC-BV-028	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 3\	SWC-BV-028.EMObs
SWC-BV-029	1.09	2025 03 07 10:57:50	E:\20241025\BRUV 5\	SWC-BV-029.EMObs
SWC-BV-030	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 3\	SWC-BV-030.EMObs
SWC-BV-031	1.09	2025 03 07 10:57:50	D:\20241027\	SWC-BV-031.EMObs
SWC-BV-032	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 5\	SWC-BV-032.EMObs
SWC-BV-033	1.09	2025 03 07 10:57:50	D:\20241024\	SWC-BV-033.EMObs
SWC-BV-034	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 2\	SWC-BV-034.EMObs
SWC-BV-035	1.09	2025 03 07 10:57:50	D:\20241028\	SWC-BV-035.EMObs
SWC-BV-036	1.09	2025 03 07 10:57:50	F:\20241023\	SWC-BV-036.EMObs
SWC-BV-037	1.09	2025 03 07 10:57:50	E:\20241029\BRUV 6\	SWC-BV-037.EMObs
SWC-BV-038	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 7\	SWC-BV-038.EMObs
SWC-BV-039	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 1\	SWC-BV-039.EMObs
SWC-BV-040	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-040.EMObs
SWC-BV-041	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 3\	SWC-BV-041.EMObs
SWC-BV-042	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 1\	SWC-BV-042.EMObs
SWC-BV-043	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 8\	SWC-BV-043.EMObs
SWC-BV-044	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 5\	SWC-BV-044.EMObs
SWC-BV-045	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 9\	SWC-BV-045.EMObs
SWC-BV-046	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 4\	SWC-BV-046.EMObs
SWC-BV-047	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 4\	SWC-BV-047.EMObs
SWC-BV-048	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-048.EMObs
SWC-BV-049	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-049.EMObs
SWC-BV-050	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 9\	SWC-BV-050.EMObs
SWC-BV-051	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 7\	SWC-BV-051.EMObs
SWC-BV-052	1.09	2025 03 07 10:57:50	D:\	SWC-BV-052.EMObs
SWC-BV-053	1.09	2025 03 07 10:57:50	E:\20241029\BRUV 7\	SWC-BV-053.EMObs
SWC-BV-054	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 1\	SWC-BV-054.EMObs
SWC-BV-055	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 1\	SWC-BV-055.EMObs
SWC-BV-056	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-056.EMObs
SWC-BV-057	1.09	2025 03 07 10:57:50	E:\20241026\	SWC-BV-057.EMObs
SWC-BV-058	1.09	2025 03 07 10:57:50	D:\20241027\	SWC-BV-058.EMObs
SWC-BV-059	1.09	2025 03 07 10:57:50	D:\20241026\	SWC-BV-059.EMObs
SWC-BV-060	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 6\	SWC-BV-060.EMObs
SWC-BV-061	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 10\	SWC-BV-061.EMObs
SWC-BV-062	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 10\	SWC-BV-062.EMObs
SWC-BV-063	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 2\	SWC-BV-063.EMObs
SWC-BV-064	1.09	2025 03 07 10:57:50	M:\20241024\	SWC-BV-064.EMObs
SWC-BV-065	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 8\	SWC-BV-065.EMObs
SWC-BV-066	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 2\	SWC-BV-066.EMObs
SWC-BV-067	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 4\	SWC-BV-067.EMObs
SWC-BV-068	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-068.EMObs
SWC-BV-069	1.09	2025 03 07 10:57:50	E:\20241026\	SWC-BV-069.EMObs
SWC-BV-070	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241026\BRUV 10\	SWC-BV-070.EMObs
SWC-BV-071	1.09	2025 03 07 10:57:50	D:\20241027\BRUV 5\	SWC-BV-071.EMObs
SWC-BV-072	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 9\	SWC-BV-072.EMObs
SWC-BV-073	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-073.EMObs
SWC-BV-074	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 5\	SWC-BV-074.EMObs
SWC-BV-075	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 10\	SWC-BV-075.EMObs
SWC-BV-076	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-076.EMObs
SWC-BV-077	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 3\	SWC-BV-077.EMObs
SWC-BV-078	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241026\BRUV 5\	SWC-BV-078.EMObs
SWC-BV-079	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 6\	SWC-BV-079.EMObs
SWC-BV-080	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 4\	SWC-BV-080.EMObs
SWC-BV-081	1.09	2025 03 07 10:57:50	E:\20241025\BRUV 6\	SWC-BV-081.EMObs
SWC-BV-082	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 8\	SWC-BV-082.EMObs
SWC-BV-083	1.09	2025 03 07 10:57:50	D:\20241027\	SWC-BV-083.EMObs
SWC-BV-084	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 8\	SWC-BV-084.EMObs
SWC-BV-085	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 2\	SWC-BV-085.EMObs
SWC-BV-086	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 7\	SWC-BV-086.EMObs
SWC-BV-087	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 10\	SWC-BV-087.EMObs
SWC-BV-088	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-088.EMObs
SWC-BV-089	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 4\	SWC-BV-089.EMObs
SWC-BV-090	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241026\BRUV 7\	SWC-BV-090.EMObs
SWC-BV-091	1.09	2025 03 07 10:57:50	D:\20241028\	SWC-BV-091.EMObs
SWC-BV-092	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-092.EMObs
SWC-BV-094	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 3\	SWC-BV-094.EMObs
SWC-BV-095	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 3\	SWC-BV-095.EMObs
SWC-BV-096	1.09	2025 03 07 10:57:50	M:\20241024\	SWC-BV-096.EMObs
SWC-BV-097	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-097.EMObs
SWC-BV-099	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 8\	SWC-BV-099.EMObs
SWC-BV-100	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-100.EMObs
SWC-BV-101	1.09	2025 03 07 10:57:50	E:\20241029\BRUV 10\	SWC-BV-101.EMObs
SWC-BV-102	1.09	2025 03 07 10:57:50	M:\20241027\	SWC-BV-102.EMObs
SWC-BV-103	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 5\	SWC-BV-103.EMObs
SWC-BV-104	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-104.EMObs
SWC-BV-105	1.09	2025 03 07 10:57:50	D:\20241026\	SWC-BV-105.EMObs
SWC-BV-106	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241026\BRUV 6\	SWC-BV-106.EMObs
SWC-BV-107	1.09	2025 03 07 10:57:50	D:\20241026\	SWC-BV-107.EMObs
SWC-BV-108	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 2\	SWC-BV-108.EMObs
SWC-BV-110	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 6\	SWC-BV-110.EMObs
SWC-BV-111	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 6\	SWC-BV-111.EMObs
SWC-BV-112	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-112.EMObs
SWC-BV-113	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 3\	SWC-BV-113.EMObs
SWC-BV-114	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 1\	SWC-BV-114.EMObs
SWC-BV-115	1.09	2025 03 07 10:57:50	D:\20241028\BRUV 6\	SWC-BV-115.EMObs
SWC-BV-116	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-116.EMObs
SWC-BV-117	1.09	2025 03 07 10:57:50	E:\20241025\BRUV 4\	SWC-BV-117.EMObs
SWC-BV-118	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 2\	SWC-BV-118.EMObs
SWC-BV-119	1.09	2025 03 07 10:57:50	D:\20241027\	SWC-BV-119.EMObs
SWC-BV-120	1.09	2025 03 07 10:57:50	D:\20241025\	SWC-BV-120.EMObs
SWC-BV-121	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-121.EMObs
SWC-BV-122	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 3\	SWC-BV-122.EMObs
