"","opcode","fullspp","MaxN","longitude","latitude","depth","status","sd"
"1","EGB1-2","Apogonidae Ostorhinchus rueppellii",1,115.442853,-33.54291277,10,"Fished","preferential"
"2","EGB1-3","Apogonidae Ostorhinchus rueppellii",2,115.4418686,-33.5402568,10,"Fished","preferential"
"3","EGB1-4","Apogonidae Ostorhinchus rueppellii",1,115.4447551,-33.54160948,10,"Fished","preferential"
"4","EGB1-5","Apogonidae Ostorhinchus rueppellii",1,115.4385019,-33.544133,10,"Fished","preferential"
"5","EGB2-1","Apogonidae Ostorhinchus rueppellii",2,115.4320331,-33.55358215,10,"Fished","preferential"
"6","EGB2-2","Apogonidae Ostorhinchus rueppellii",2,115.4356611,-33.55264123,10,"Fished","preferential"
"7","EGB2-3","Apogonidae Ostorhinchus rueppellii",3,115.4298323,-33.55161108,11,"Fished","preferential"
"8","EGB2-4","Apogonidae Ostorhinchus rueppellii",3,115.4366481,-33.5499871,10,"Fished","preferential"
"9","EGB2-5","Apogonidae Ostorhinchus rueppellii",1,115.4334449,-33.54825213,11,"Fished","preferential"
"10","EGB3-1","Apogonidae Ostorhinchus rueppellii",2,115.4207646,-33.56581203,10,"No-take","preferential"
"11","EGB3-2","Apogonidae Ostorhinchus rueppellii",6,115.4204045,-33.56324325,10,"No-take","preferential"
"12","EGB3-3","Apogonidae Ostorhinchus rueppellii",4,115.4220941,-33.56150228,10,"No-take","preferential"
"13","EGB3-4","Apogonidae Ostorhinchus rueppellii",2,115.4258155,-33.5630559,10,"No-take","preferential"
"14","EGB3-5","Apogonidae Ostorhinchus rueppellii",2,115.425212,-33.56512448,9,"No-take","preferential"
"15","EGB5-3","Apogonidae Ostorhinchus rueppellii",6,115.4150233,-33.57811143,10,"No-take","preferential"
"16","EGB5-5","Apogonidae Ostorhinchus rueppellii",1,115.4119596,-33.5802932,9,"No-take","preferential"
"17","EGB6-1","Apogonidae Ostorhinchus rueppellii",4,115.396083,-33.59721683,10,"Fished","preferential"
