"","opcode","fullspp","MaxN","longitude","latitude","depth","status","sd"
"1","CF1-1","Labridae Austrolabrus maculatus",1,114.9630679,-34.03173347,34,"Fished","preferential"
"2","CF1-1","Labridae Coris auricularis",3,114.9630679,-34.03173347,34,"Fished","preferential"
"3","CF1-1","Labridae Notolabrus parilus",1,114.9630679,-34.03173347,34,"Fished","preferential"
"4","CF1-1","Labridae Ophthalmolepis lineolatus",11,114.9630679,-34.03173347,34,"Fished","preferential"
"5","CF1-1","Labridae Pseudolabrus biserialis",5,114.9630679,-34.03173347,34,"Fished","preferential"
"6","CF1-1","Microcanthidae Neatypus obliquus",5,114.9630679,-34.03173347,34,"Fished","preferential"
"7","CF1-1","Monacanthidae Meuschenia flavolineata",1,114.9630679,-34.03173347,34,"Fished","preferential"
"8","CF1-1","Monacanthidae Meuschenia galii",1,114.9630679,-34.03173347,34,"Fished","preferential"
"9","CF1-1","Monacanthidae Meuschenia venusta",1,114.9630679,-34.03173347,34,"Fished","preferential"
"10","CF1-1","Pomacentridae Chromis klunzingeri",11,114.9630679,-34.03173347,34,"Fished","preferential"
"11","CF1-1","Serranidae Caesioperca rasor",2,114.9630679,-34.03173347,34,"Fished","preferential"
"12","CF1-1","Serranidae Othos dentex",1,114.9630679,-34.03173347,34,"Fished","preferential"
"13","CF1-2","Dasyatidae Bathytoshia brevicaudata",1,114.9618176,-34.03477328,35,"Fished","preferential"
"14","CF1-2","Gerreidae Parequula melbournensis",2,114.9618176,-34.03477328,35,"Fished","preferential"
"15","CF1-2","Labridae Coris auricularis",6,114.9618176,-34.03477328,35,"Fished","preferential"
"16","CF1-2","Labridae Ophthalmolepis lineolatus",13,114.9618176,-34.03477328,35,"Fished","preferential"
"17","CF1-2","Labridae Pseudolabrus biserialis",3,114.9618176,-34.03477328,35,"Fished","preferential"
"18","CF1-2","Monacanthidae Meuschenia galii",1,114.9618176,-34.03477328,35,"Fished","preferential"
"19","CF1-2","Mullidae Upeneichthys vlamingii",1,114.9618176,-34.03477328,35,"Fished","preferential"
"20","CF1-2","Myliobatidae Myliobatis tenuicaudatus",2,114.9618176,-34.03477328,35,"Fished","preferential"
"21","CF1-2","Serranidae Caesioperca spp",4,114.9618176,-34.03477328,35,"Fished","preferential"
"22","CF1-2","Trygonorrhinidae Trygonorrhina dumerilii",1,114.9618176,-34.03477328,35,"Fished","preferential"
"23","CF1-3","Dasyatidae Bathytoshia brevicaudata",1,114.9645395,-34.02833703,33,"Fished","preferential"
"24","CF1-3","Labridae Austrolabrus maculatus",1,114.9645395,-34.02833703,33,"Fished","preferential"
"25","CF1-3","Labridae Coris auricularis",9,114.9645395,-34.02833703,33,"Fished","preferential"
"26","CF1-3","Labridae Notolabrus parilus",2,114.9645395,-34.02833703,33,"Fished","preferential"
"27","CF1-3","Labridae Ophthalmolepis lineolatus",13,114.9645395,-34.02833703,33,"Fished","preferential"
"28","CF1-3","Labridae Pictilabrus laticlavius",1,114.9645395,-34.02833703,33,"Fished","preferential"
"29","CF1-3","Labridae Pseudolabrus biserialis",6,114.9645395,-34.02833703,33,"Fished","preferential"
"30","CF1-3","Microcanthidae Neatypus obliquus",5,114.9645395,-34.02833703,33,"Fished","preferential"
"31","CF1-3","Mullidae Upeneichthys vlamingii",1,114.9645395,-34.02833703,33,"Fished","preferential"
"32","CF1-3","Plesiopidae Trachinops noarlungae",28,114.9645395,-34.02833703,33,"Fished","preferential"
"33","CF1-3","Pomacentridae Chromis klunzingeri",16,114.9645395,-34.02833703,33,"Fished","preferential"
"34","CF1-3","Scorpididae Scorpis georgiana",1,114.9645395,-34.02833703,33,"Fished","preferential"
"35","CF1-3","Serranidae Othos dentex",1,114.9645395,-34.02833703,33,"Fished","preferential"
"36","CF1-4","Carangidae Pseudocaranx spp",2,114.9596724,-34.03049647,35,"Fished","preferential"
"37","CF1-4","Labridae Coris auricularis",2,114.9596724,-34.03049647,35,"Fished","preferential"
"38","CF1-4","Labridae Ophthalmolepis lineolatus",8,114.9596724,-34.03049647,35,"Fished","preferential"
"39","CF1-4","Labridae Pictilabrus laticlavius",1,114.9596724,-34.03049647,35,"Fished","preferential"
"40","CF1-4","Labridae Pseudolabrus biserialis",6,114.9596724,-34.03049647,35,"Fished","preferential"
"41","CF1-4","Monacanthidae Meuschenia flavolineata",2,114.9596724,-34.03049647,35,"Fished","preferential"
"42","CF1-4","Monacanthidae Meuschenia galii",1,114.9596724,-34.03049647,35,"Fished","preferential"
"43","CF1-4","Mullidae Upeneichthys vlamingii",1,114.9596724,-34.03049647,35,"Fished","preferential"
"44","CF1-4","Pempherididae Pempheris multiradiata",7,114.9596724,-34.03049647,35,"Fished","preferential"
"45","CF1-4","Pomacentridae Chromis klunzingeri",9,114.9596724,-34.03049647,35,"Fished","preferential"
"46","CF1-4","Serranidae Caesioperca spp",11,114.9596724,-34.03049647,35,"Fished","preferential"
"47","CF1-5","Labridae Austrolabrus maculatus",2,114.9672181,-34.0314446,23,"Fished","preferential"
"48","CF1-5","Labridae Coris auricularis",4,114.9672181,-34.0314446,23,"Fished","preferential"
"49","CF1-5","Labridae Notolabrus parilus",1,114.9672181,-34.0314446,23,"Fished","preferential"
"50","CF1-5","Labridae Ophthalmolepis lineolatus",10,114.9672181,-34.0314446,23,"Fished","preferential"
"51","CF1-5","Labridae Pseudolabrus biserialis",6,114.9672181,-34.0314446,23,"Fished","preferential"
"52","CF1-5","Microcanthidae Neatypus obliquus",5,114.9672181,-34.0314446,23,"Fished","preferential"
"53","CF1-5","Microcanthidae Tilodon sexfasciatus",1,114.9672181,-34.0314446,23,"Fished","preferential"
"54","CF1-5","Pempherididae Pempheris multiradiata",1,114.9672181,-34.0314446,23,"Fished","preferential"
"55","CF2-1","Cheilodactylidae Nemadactylus valenciennesi",2,114.9615251,-34.04882763,35,"Fished","preferential"
"56","CF2-1","Labridae Austrolabrus maculatus",1,114.9615251,-34.04882763,35,"Fished","preferential"
"57","CF2-1","Labridae Coris auricularis",6,114.9615251,-34.04882763,35,"Fished","preferential"
"58","CF2-1","Labridae Notolabrus parilus",1,114.9615251,-34.04882763,35,"Fished","preferential"
"59","CF2-1","Labridae Ophthalmolepis lineolatus",10,114.9615251,-34.04882763,35,"Fished","preferential"
"60","CF2-1","Labridae Pseudolabrus biserialis",4,114.9615251,-34.04882763,35,"Fished","preferential"
"61","CF2-1","Monacanthidae Meuschenia venusta",1,114.9615251,-34.04882763,35,"Fished","preferential"
"62","CF2-1","Mullidae Upeneichthys vlamingii",1,114.9615251,-34.04882763,35,"Fished","preferential"
"63","CF2-1","Scorpididae Scorpis georgiana",1,114.9615251,-34.04882763,35,"Fished","preferential"
"64","CF2-1","Serranidae Caesioperca rasor",1,114.9615251,-34.04882763,35,"Fished","preferential"
"65","CF2-1","Trygonorrhinidae Trygonorrhina dumerilii",1,114.9615251,-34.04882763,35,"Fished","preferential"
"66","CF2-2","Dasyatidae Bathytoshia brevicaudata",1,114.9581501,-34.04885642,34,"Fished","preferential"
"67","CF2-2","Labridae Coris auricularis",1,114.9581501,-34.04885642,34,"Fished","preferential"
"68","CF2-2","Labridae Heteroscarus acroptilus",1,114.9581501,-34.04885642,34,"Fished","preferential"
